['CV', 53, 'BV', 52, 'tty', 'libSDL2-2.0.so', 'V2', 'V2', 0.9846693516954658, 1.4870033264160156]
['CV', 324, 'BV', 53, 'mv', 'ssh', 'V1', 'V2', 0.9786270871985158, 6.15386962890625]
['CV', 121, 'BV', 16, 'echo', 'libvlc.so', 'V3', 'V3', 0.9836852207293666, 0.5017879009246826]
['UV', 27, 'CV', 19, 'c++filt', 'pr', 'V3', 'V2', 0.9935718877223055, 1.2282328605651855]
['UV', 29, 'CV', 75, 'objcopy', 'tr', 'V3', 'V2', 0.995053003533569, 1.1376392841339111]
['CV', 69, 'BV', 45, 'csplit', 'svn', 'V2', 'V3', 0.9753694581280788, 1.6379108428955078]
['UV', 38, 'CV', 16, 'xargs', 'dd', 'V3', 'V2', 0.979498861047836, 0.20354771614074707]
['UV', 70, 'CV', 296, 'locate', 'sum', 'V0', 'V1', 0.9778325123152709, 0.09829926490783691]
['BV', 33, 'CV', 239, 'openssl', 'env', 'V0', 'V0', 0.99957714466938, 1.8483104705810547]
['CV', 232, 'UV', 33, 'readlink', 'ar', 'V0', 'V3', 0.9809484365293021, 0.7573239803314209]
['CV', 344, 'UV', 13, 'tac', 'strings', 'V1', 'V2', 0.961577350859454, 1.8287155628204346]
['CV', 71, 'UV', 48, '[', 'locate', 'V2', 'V1', 0.9133937562940584, 0.164168119430542]
['CV', 283, 'BV', 65, 'kill', 'ssh', 'V1', 'V1', 0.9896088019559902, 1.7915759086608887]
['BV', 32, 'CV', 116, 'perl', 'tail', 'V0', 'V3', 0.9966890462613814, 3.72963547706604]
['CV', 191, 'UV', 39, 'mkfifo', 'find', 'V0', 'V3', 0.9777983348751156, 0.3161303997039795]
['BV', 31, 'CV', 118, 'codeblocks', 'sha1sum', 'V0', 'V3', 0.9986887825345834, 3.880695104598999]
['UV', 29, 'BV', 79, 'objcopy', 'bash', 'V3', 'V3', 0.9624094498466358, 40.609670877456665]
['BV', 42, 'CV', 25, 'libvlc.so', 'expand', 'V1', 'V2', 0.9913232104121475, 0.3173213005065918]
['CV', 86, 'UV', 60, 'ln', 'gprof', 'V2', 'V1', 0.9715261958997722, 1.463334560394287]
['UV', 72, 'CV', 120, 'find', 'sync', 'V0', 'V3', 0.9801526717557252, 0.2113354206085205]
['UV', 53, 'CV', 253, 'readelf', 'fold', 'V1', 'V0', 0.9916434540389972, 0.18332505226135254]
['UV', 52, 'CV', 38, 'strip', 'split', 'V1', 'V2', 0.9946134347275032, 1.8374650478363037]
['UV', 44, 'CV', 103, 'diff3', 'dd', 'V1', 'V3', 0.924892703862661, 0.1734144687652588]
['CV', 301, 'BV', 34, 'ls', 'svn', 'V1', 'V0', 0.971002132196162, 1.0681183338165283]
