['CV', 340, 'BV', 32, 'fold', 'perl', 'V1', 'V0', 0.9880466748885305, 1.355151653289795]
['BV', 68, 'CV', 182, 'dot', 'du', 'V0', 'V0', 0.9958246346555324, 0.055909156799316406]
['CV', 164, 'BV', 32, 'nl', 'perl', 'V3', 'V0', 0.9855656575124192, 2.348431348800659]
['CV', 292, 'BV', 59, 'sha1sum', 'make', 'V1', 'V1', 0.9725355566454145, 0.3345823287963867]
['UV', 12, 'CV', 255, 'c++filt', 'sleep', 'V2', 'V0', 0.9964827434601011, 0.5840997695922852]
['UV', 5, 'CV', 221, 'diff', 'od', 'V2', 'V0', 0.9825479930191972, 0.17824387550354004]
['BV', 50, 'CV', 119, 'sort', 'paste', 'V0', 'V3', 0.932475884244373, 0.0797879695892334]
['CV', 309, 'UV', 64, 'df', 'size', 'V1', 'V1', 0.9737882255044726, 1.1637132167816162]
['CV', 287, 'UV', 6, 'date', 'sdiff', 'V1', 'V2', 0.8740157480314961, 0.08608388900756836]
['CV', 312, 'UV', 0, 'printf', 'locate', 'V1', 'V2', 0.870604781997187, 0.0981130599975586]
['UV', 69, 'CV', 154, 'sdiff', 'uname', 'V0', 'V3', 0.9552715654952076, 0.07836270332336426]
['CV', 265, 'BV', 40, 'basename', 'lua', 'V1', 'V2', 0.9741710296684118, 0.3767518997192383]
['CV', 205, 'BV', 56, 'sha1sum', 'ssh', 'V0', 'V3', 0.9892670959828274, 1.1210737228393555]
['CV', 35, 'UV', 3, 'sum', 'diff3', 'V2', 'V2', 0.8823529411764706, 0.07909297943115234]
['BV', 76, 'UV', 34, 'diff', 'elfedit', 'V2', 'V3', 0.9865771812080537, 0.2683138847351074]
['CV', 36, 'BV', 70, 'chroot', 'ssh', 'V2', 'V0', 0.9812147777082029, 2.408174991607666]
['CV', 10, 'BV', 74, 'ptx', 'git', 'V2', 'V1', 0.9796083181909954, 8.408934354782104]
['BV', 31, 'CV', 320, 'codeblocks', 'head', 'V0', 'V1', 0.9992090693382547, 2.7540903091430664]
['BV', 14, 'CV', 32, 'openssl', 'paste', 'V3', 'V2', 0.9980916030534351, 1.4913411140441895]
['UV', 59, 'CV', 277, 'ld', 'dd', 'V1', 'V1', 0.9974594213126323, 1.6344020366668701]
['UV', 44, 'CV', 29, 'diff3', 'tail', 'V1', 'V2', 0.9035532994923858, 0.13190412521362305]
['CV', 56, 'UV', 65, 'yes', 'objdump', 'V2', 'V1', 0.98433970787532, 1.101442813873291]
['CV', 307, 'BV', 60, 'cut', 'codeblocks', 'V1', 'V1', 0.9946140035906643, 3.2111973762512207]
['CV', 210, 'BV', 31, 'chroot', 'codeblocks', 'V0', 'V0', 0.9965553789083201, 2.4813055992126465]
['UV', 72, 'CV', 138, 'find', 'printf', 'V0', 'V3', 0.9783080260303688, 0.27166008949279785]
['BV', 14, 'CV', 35, 'openssl', 'sum', 'V3', 'V2', 0.9975619666802112, 1.8299639225006104]
