['UV', 82, 'CV', 239, 'gprof', 'env', 'V0', 'V0', 0.9987572493786246, 0.5214579105377197]
['CV', 221, 'UV', 34, 'od', 'elfedit', 'V0', 'V3', 0.9692307692307692, 0.08282113075256348]
['CV', 287, 'UV', 10, 'date', 'as', 'V1', 'V2', 0.9788430637386181, 1.5691404342651367]
['BV', 30, 'CV', 178, 'bash', 'basename', 'V0', 'V0', 0.9990761057858876, 0.9781844615936279]
['BV', 44, 'CV', 46, 'make', 'cut', 'V0', 'V2', 0.9888551165146909, 0.4020509719848633]
['CV', 88, 'UV', 35, 'stat', 'size', 'V3', 'V3', 0.9697959183673469, 2.0638833045959473]
['CV', 26, 'UV', 65, 'date', 'objdump', 'V2', 'V1', 0.9751074233219736, 1.7115368843078613]
['UV', 67, 'CV', 27, 'cmp', 'expr', 'V0', 'V2', 0.9067599067599068, 0.13997387886047363]
['UV', 50, 'BV', 69, 'find', 'gvmap', 'V1', 'V0', 0.9678714859437751, 1.3088231086730957]
['CV', 164, 'UV', 9, 'nl', 'readelf', 'V3', 'V2', 0.9638356164383561, 0.39123106002807617]
['UV', 32, 'CV', 42, 'addr2line', 'dircolors', 'V3', 'V2', 0.9952111449717023, 0.8142688274383545]
['UV', 44, 'CV', 58, 'diff3', 'readlink', 'V1', 'V2', 0.9409020217729394, 0.08769774436950684]
['CV', 21, 'UV', 40, 'chgrp', 'diff3', 'V2', 'V3', 0.9157372986369269, 0.14113855361938477]
['BV', 2, 'CV', 192, 'cmp', 'pwd', 'V1', 'V0', 0.9513274336283186, 0.045856475830078125]
['BV', 57, 'CV', 188, 'svn', 'dirname', 'V2', 'V0', 0.9961630695443645, 0.30690956115722656]
['BV', 5, 'UV', 48, 'libvlccore.so', 'locate', 'V0', 'V1', 0.9972872996300863, 4.503890752792358]
['CV', 72, 'UV', 73, 'id', 'nm', 'V2', 'V0', 0.9786771105308965, 0.971688985824585]
['CV', 296, 'UV', 29, 'sum', 'objcopy', 'V1', 'V3', 0.9824246771879483, 1.0541660785675049]
['CV', 274, 'BV', 53, 'join', 'ssh', 'V1', 'V2', 0.9857651245551602, 2.7931697368621826]
['CV', 55, 'BV', 27, 'nohup', 'libSDL2-2.0.so', 'V2', 'V1', 0.9812336139092038, 1.6312854290008545]
['CV', 322, 'BV', 55, 'ginstall', 'codeblocks', 'V1', 'V3', 0.9924145103077017, 9.10595703125]
['BV', 23, 'CV', 102, 'diff', 'uptime', 'V3', 'V3', 0.9728, 0.2442939281463623]
['CV', 326, 'BV', 12, 'env', 'sort', 'V1', 'V2', 0.9226804123711341, 0.08684206008911133]
