['UO', 47, 'CO', 167, 'as', 'logname', 'O3', 'O1', 0.9945392491467577, 1.3022453784942627]
['CO', 87, 'UO', 54, 'id', 'addr2line', 'O3', 'O3', 0.9748754602555773, 1.1706955432891846]
['CO', 224, 'BO', 21, 'dirname', 'cp', 'O2', 'O1', 0.9208333333333334, 0.13069367408752441]
['CO', 299, 'UO', 42, 'comm', 'xargs', 'O2', 'O2', 0.9718706047819972, 0.13510751724243164]
['CO', 273, 'BO', 35, 'false', 'make', 'O2', 'O3', 0.9712696941612604, 0.29325342178344727]
['UO', 78, 'BO', 0, 'elfedit', 'codeblocks', 'O0', 'O1', 0.9855072463768116, 4.0064568519592285]
['UO', 69, 'CO', 184, 'as', 'uname', 'O0', 'O1', 0.9966279505432747, 1.9931747913360596]
['BO', 73, 'CO', 227, 'cluster', 'dd', 'O1', 'O2', 0.9588953114964676, 0.46550750732421875]
['CO', 78, 'UO', 83, 'chcon', 'diff', 'O3', 'O0', 0.9127604166666666, 0.4416327476501465]
['UO', 19, 'CO', 104, 'cmp', 'sha384sum', 'O1', 'O1', 0.9094202898550725, 0.07843565940856934]
['CO', 107, 'UO', 50, 'unlink', 'strings', 'O1', 'O3', 0.9782076940182344, 0.8338639736175537]
['UO', 44, 'CO', 341, 'nm', 'nproc', 'O3', 'O0', 0.9948364888123924, 1.0072922706604004]
['BO', 26, 'CO', 28, 'gvmap', 'factor', 'O3', 'O3', 0.9660163624921334, 0.41763997077941895]
['UO', 30, 'CO', 260, 'ranlib', 'sha256sum', 'O2', 'O2', 0.9942973523421589, 1.0087127685546875]
['BO', 29, 'CO', 77, 'libvlc.so.12.0.0', 'env', 'O2', 'O3', 0.9938556067588326, 0.43453311920166016]
['CO', 17, 'BO', 44, 'stdbuf', 'cmp', 'O3', 'O2', 0.9104991394148021, 0.07896113395690918]
['BO', 20, 'CO', 100, 'sort', 'tac', 'O1', 'O3', 0.9601449275362319, 0.2000725269317627]
['UO', 79, 'BO', 78, 'size', 'ssh', 'O0', 'O0', 0.9846408474015227, 41.45911359786987]
['CO', 93, 'UO', 75, 'nl', 'gprof', 'O3', 'O0', 0.9938527328611519, 2.1809802055358887]
['CO', 232, 'UO', 0, 'tee', 'locate', 'O2', 'O1', 0.9626334519572953, 0.2270488739013672]
['CO', 366, 'UO', 23, 'true', 'cmp', 'O0', 'O2', 0.9142857142857143, 0.06421971321105957]
['BO', 18, 'CO', 260, 'libvlc.so.12.0.0', 'sha256sum', 'O1', 'O2', 0.9918408975012749, 0.5042719841003418]
['CO', 180, 'UO', 12, 'md5sum', 'gprof', 'O1', 'O1', 0.9717874396135265, 1.2146730422973633]
['CO', 3, 'BO', 66, 'unlink', 'svn', 'O3', 'O2', 0.973759737597376, 0.5978734493255615]
['CO', 137, 'UO', 23, 'chown', 'cmp', 'O1', 'O2', 0.9337748344370861, 0.12908554077148438]
['CO', 198, 'UO', 79, 'rm', 'size', 'O1', 'O0', 0.9801252382248843, 3.6092593669891357]
['CO', 237, 'UO', 66, 'nproc', 'nm', 'O2', 'O0', 0.9921491658488715, 1.5745983123779297]
['UO', 47, 'CO', 171, 'as', 'nohup', 'O3', 'O1', 0.9945644788694116, 1.4607737064361572]
['CO', 383, 'UO', 37, 'readlink', 'ar', 'O0', 'O2', 0.9624, 1.483445167541504]
['CO', 32, 'BO', 63, 'expr', 'cluster', 'O3', 'O0', 0.9668454412481716, 0.5246679782867432]
['BO', 79, 'CO', 410, 'bash', 'sleep', 'O3', 'O0', 0.9958899213724088, 2.2399938106536865]
['CO', 315, 'BO', 1, 'unlink', 'ssh', 'O0', 'O2', 0.9833975689297362, 1.3549907207489014]
['CO', 188, 'BO', 22, 'vdir', 'perl', 'O1', 'O0', 0.9837925445705025, 10.108495473861694]
['BO', 50, 'CO', 410, 'perl', 'sleep', 'O2', 'O0', 0.9973555467407114, 2.774636745452881]
['CO', 178, 'UO', 31, 'unexpand', 'c++filt', 'O1', 'O2', 0.9707231811230064, 1.079373836517334]
['UO', 73, 'CO', 128, 'objcopy', 'tee', 'O0', 'O1', 0.9947898164594434, 1.9803695678710938]
['CO', 246, 'UO', 2, 'sha1sum', 'find', 'O2', 'O1', 0.968013468013468, 0.4920475482940674]
['BO', 25, 'CO', 157, 'dot', 'chmod', 'O3', 'O1', 0.9877300613496932, 0.05189704895019531]
['BO', 4, 'CO', 189, 'libgeany.so.0.0.0', '[', 'O2', 'O1', 0.9987145071647321, 6.992447376251221]
['CO', 252, 'UO', 5, 'seq', 'readelf', 'O2', 'O1', 0.9642857142857143, 0.541527509689331]
['CO', 346, 'UO', 32, 'tail', 'strings', 'O0', 'O2', 0.9642570281124498, 2.4597229957580566]
['CO', 365, 'BO', 14, 'chmod', 'cmp', 'O0', 'O0', 0.9524375743162902, 0.16252779960632324]
['CO', 273, 'BO', 4, 'false', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9961965616917694, 4.725170612335205]
['BO', 55, 'CO', 253, 'make', 'split', 'O1', 'O2', 0.976, 0.5792813301086426]
['CO', 390, 'UO', 1, 'chcon', 'xargs', 'O0', 'O1', 0.9574844995571302, 0.3576819896697998]
['BO', 29, 'CO', 240, 'libvlc.so.12.0.0', 'expr', 'O2', 'O2', 0.9880239520958084, 0.559837818145752]
['BO', 80, 'CO', 126, 'ssh', 'pwd', 'O3', 'O1', 0.9926373140921808, 1.4214465618133545]
['UO', 10, 'CO', 232, 'objcopy', 'tee', 'O1', 'O2', 0.9930651872399445, 1.134284496307373]
['BO', 77, 'CO', 245, 'libSDL2-2.0.so.0.16.0', 'truncate', 'O3', 'O2', 0.9972562021264434, 1.4279673099517822]
['UO', 8, 'CO', 106, 'c++filt', 'stat', 'O1', 'O1', 0.9867549668874173, 1.9853167533874512]
['UO', 54, 'CO', 175, 'addr2line', 'readlink', 'O3', 'O1', 0.9908814589665653, 1.0985057353973389]
['UO', 38, 'CO', 83, 'elfedit', 'csplit', 'O2', 'O3', 0.9854439592430859, 0.1264362335205078]
['UO', 39, 'CO', 216, 'size', 'dir', 'O2', 'O2', 0.9849012775842044, 2.800210475921631]
