['BO', 7, 'CO', 85, 'sort', '[', 'O0', 'O3', 0.9716840536512668, 0.26402854919433594]
['BO', 29, 'CO', 384, 'libvlc.so.12.0.0', 'head', 'O2', 'O0', 0.9922443044110518, 0.6666090488433838]
['UO', 46, 'CO', 331, 'readelf', 'dd', 'O3', 'O0', 0.9799417664186347, 1.1561486721038818]
['CO', 96, 'UO', 43, 'fold', 'find', 'O3', 'O2', 0.9654128837008215, 0.5239310264587402]
['CO', 11, 'BO', 47, 'groups', 'libvlc.so.12.0.0', 'O3', 'O0', 0.986565158978952, 0.6380648612976074]
['CO', 128, 'UO', 26, 'tee', 'nm', 'O1', 'O2', 0.9754445385266723, 1.147519588470459]
['BO', 66, 'CO', 401, 'svn', 'pathchk', 'O2', 'O0', 0.9861281109751122, 0.6501517295837402]
['CO', 260, 'BO', 13, 'sha256sum', 'ruby', 'O2', 'O1', 0.9922935279274364, 5.619787931442261]
['CO', 178, 'BO', 17, 'unexpand', 'codeblocks', 'O1', 'O2', 0.993046933200894, 4.689017295837402]
['BO', 29, 'CO', 257, 'libvlc.so.12.0.0', 'nice', 'O2', 'O2', 0.9957356076759062, 0.36234307289123535]
['CO', 50, 'UO', 86, 'dircolors', 'xargs', 'O3', 'O0', 0.9709821428571429, 0.20082545280456543]
['CO', 390, 'UO', 73, 'chcon', 'objcopy', 'O0', 'O0', 0.9822827938671209, 4.87436318397522]
['BO', 51, 'CO', 366, 'lua', 'true', 'O1', 'O0', 0.9963768115942029, 0.6083259582519531]
['CO', 352, 'UO', 8, 'sync', 'c++filt', 'O0', 'O1', 0.9716342082980525, 1.0903630256652832]
['UO', 74, 'CO', 41, 'ld', 'echo', 'O0', 'O3', 0.998014888337469, 1.8817334175109863]
['UO', 61, 'CO', 344, 'find', 'expr', 'O3', 'O0', 0.975093399750934, 0.7546091079711914]
['BO', 32, 'CO', 72, 'ruby', 'head', 'O2', 'O3', 0.9993783752282528, 5.940319061279297]
['CO', 123, 'BO', 29, 'dd', 'libvlc.so.12.0.0', 'O1', 'O2', 0.985239852398524, 0.9552083015441895]
['CO', 246, 'UO', 50, 'sha1sum', 'strings', 'O2', 'O3', 0.9756959787892179, 0.9574112892150879]
['CO', 110, 'UO', 29, 'mkdir', 'as', 'O1', 'O2', 0.9726391287023509, 2.081998825073242]
['UO', 45, 'CO', 66, 'strip', 'runcon', 'O3', 'O3', 0.9967689822294022, 0.9078500270843506]
['CO', 133, 'UO', 75, 'nproc', 'gprof', 'O1', 'O0', 0.9908417508417509, 1.8577325344085693]
['CO', 337, 'UO', 15, 'chgrp', 'elfedit', 'O0', 'O1', 0.9708383961117861, 0.1842188835144043]
