['CO', 278, 'UO', 28, 'b2sum', 'readelf', 'O2', 'O2', 0.9637812386816371, 0.6133308410644531]
['UO', 36, 'BO', 21, 'addr2line', 'cp', 'O2', 'O1', 0.9857142857142858, 2.8794498443603516]
['UO', 62, 'CO', 15, 'diff3', 'join', 'O3', 'O3', 0.9106699751861043, 0.12641406059265137]
['UO', 59, 'CO', 381, 'locate', 'who', 'O3', 'O0', 0.9676595744680851, 0.30597829818725586]
['BO', 56, 'CO', 69, 'libvlc.so.12.0.0', 'who', 'O3', 'O3', 0.9953095684803002, 0.5774872303009033]
['CO', 14, 'UO', 66, 'stty', 'nm', 'O3', 'O0', 0.990953947368421, 3.262392282485962]
['CO', 30, 'BO', 7, 'expand', 'sort', 'O3', 'O0', 0.9385560675883257, 0.3748812675476074]
['BO', 26, 'UO', 0, 'gvmap', 'locate', 'O3', 'O1', 0.9404704752760442, 0.8567690849304199]
['CO', 90, 'UO', 52, 'tr', 'ld', 'O3', 'O3', 0.9777127733667642, 1.8544793128967285]
['CO', 16, 'UO', 14, 'dirname', 'ar', 'O3', 'O1', 0.9802683504340963, 0.9948005676269531]
['CO', 20, 'BO', 78, 'mkfifo', 'ssh', 'O3', 'O0', 0.9910619781253676, 1.8087949752807617]
['BO', 33, 'CO', 132, 'sort', 'factor', 'O2', 'O1', 0.9349164467897977, 0.24782371520996094]
['UO', 12, 'CO', 32, 'gprof', 'expr', 'O1', 'O3', 0.9958182854970538, 1.3840649127960205]
['CO', 339, 'BO', 83, 'wc', 'lua', 'O0', 'O2', 0.951471034273582, 0.9617843627929688]
['UO', 24, 'CO', 396, 'diff', 'vdir', 'O2', 'O0', 0.9480122324159022, 0.7998647689819336]
['CO', 145, 'UO', 54, 'echo', 'addr2line', 'O1', 'O3', 0.9787375415282392, 0.8273615837097168]
['BO', 39, 'CO', 207, 'codeblocks', 'ln', 'O3', 'O1', 0.9971126082771896, 7.886971712112427]
['CO', 138, 'UO', 53, 'tail', 'gprof', 'O1', 'O3', 0.9693263443991458, 1.8649790287017822]
['CO', 64, 'UO', 16, 'tty', 'size', 'O3', 'O1', 0.9774200292703324, 0.9247701168060303]
['UO', 84, 'CO', 238, 'sdiff', 'expand', 'O0', 'O2', 0.9215686274509804, 0.09569549560546875]
['UO', 26, 'CO', 122, 'nm', 'uptime', 'O2', 'O1', 0.9924480805538074, 1.2421274185180664]
['CO', 202, 'BO', 34, 'sleep', 'cp', 'O1', 'O2', 0.9103869653767821, 0.1568286418914795]
['UO', 36, 'BO', 6, 'addr2line', 'codeblocks', 'O2', 'O0', 0.9785939785939786, 88.13802886009216]
['UO', 33, 'CO', 196, 'objcopy', 'sha512sum', 'O2', 'O1', 0.9939918713553632, 1.2369568347930908]
['CO', 68, 'UO', 29, 'yes', 'as', 'O3', 'O2', 0.9817253426498254, 1.4224703311920166]
['CO', 223, 'UO', 18, 'join', 'diff3', 'O2', 'O1', 0.8709677419354839, 0.10516142845153809]
['UO', 56, 'CO', 335, 'elfedit', 'pr', 'O3', 'O0', 0.982051282051282, 0.17441201210021973]
['CO', 283, 'BO', 77, 'mv', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.968763191219924, 7.443328857421875]
['BO', 26, 'CO', 90, 'gvmap', 'tr', 'O3', 'O3', 0.9839034205231388, 0.326143741607666]
['CO', 401, 'BO', 1, 'pathchk', 'ssh', 'O0', 'O2', 0.9813884785819793, 1.4417333602905273]
['UO', 29, 'CO', 235, 'as', 'wc', 'O2', 'O2', 0.995991448423303, 1.6694190502166748]
['UO', 17, 'CO', 399, 'objdump', 'id', 'O1', 'O0', 0.9968705176685356, 2.057368755340576]
['BO', 26, 'CO', 366, 'gvmap', 'true', 'O3', 'O0', 0.9638989169675091, 0.26702451705932617]
['UO', 87, 'BO', 26, 'find', 'gvmap', 'O0', 'O3', 0.9679878048780488, 2.4514596462249756]
['CO', 349, 'BO', 68, 'truncate', 'git', 'O0', 'O3', 0.9912595733633335, 5.734156608581543]
['BO', 21, 'CO', 57, 'cp', 'od', 'O1', 'O3', 0.9481781376518219, 0.2768683433532715]
['BO', 47, 'CO', 145, 'libvlc.so.12.0.0', 'echo', 'O0', 'O1', 0.991701244813278, 0.5023670196533203]
['BO', 75, 'CO', 91, 'gvmap', 'comm', 'O1', 'O3', 0.9692923898531375, 0.3280494213104248]
['CO', 58, 'BO', 57, 'df', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.9902671930952163, 5.942295551300049]
['CO', 16, 'UO', 79, 'dirname', 'size', 'O3', 'O0', 0.994052676295667, 1.8851845264434814]
['CO', 48, 'UO', 80, 'ls', 'objdump', 'O3', 'O0', 0.986228813559322, 8.507041215896606]
['UO', 31, 'CO', 271, 'c++filt', 'logname', 'O2', 'O2', 0.9973267988416128, 0.6865358352661133]
['BO', 70, 'UO', 27, 'diff', 'strip', 'O3', 'O2', 0.96010764603451, 4.297144174575806]
['BO', 12, 'CO', 345, 'libgeany.so.0.0.0', 'chown', 'O0', 'O0', 0.9990443425076453, 10.78808307647705]
['CO', 310, 'BO', 72, 'mknod', 'make', 'O2', 'O2', 0.9663330300272975, 0.3716721534729004]
['BO', 63, 'CO', 197, 'cluster', 'nl', 'O0', 'O1', 0.9764946346448646, 0.4471433162689209]
['UO', 0, 'CO', 113, 'locate', 'du', 'O1', 'O1', 0.9616573902288188, 0.6271014213562012]
['CO', 270, 'BO', 23, 'printf', 'git', 'O2', 'O2', 0.9922933714335195, 4.725938558578491]
['CO', 344, 'UO', 27, 'expr', 'strip', 'O0', 'O2', 0.9664359861591696, 1.9647953510284424]
['CO', 258, 'BO', 82, 'dircolors', 'cp', 'O2', 'O3', 0.922859830667921, 0.17750930786132812]
['CO', 54, 'UO', 67, 'true', 'strip', 'O3', 'O0', 0.99404832758005, 1.92647123336792]
['UO', 74, 'CO', 48, 'ld', 'ls', 'O0', 'O3', 0.9957073534901082, 7.273080587387085]
['UO', 78, 'CO', 300, 'elfedit', 'sha512sum', 'O0', 'O2', 0.977859778597786, 0.09298443794250488]
['UO', 30, 'CO', 316, 'ranlib', 'test', 'O2', 'O0', 0.9887820512820513, 1.3833258152008057]
['BO', 52, 'CO', 345, 'svn', 'chown', 'O3', 'O0', 0.9914802981895634, 1.3291645050048828]
['CO', 37, 'BO', 74, 'truncate', 'dot', 'O3', 'O1', 1.0, 0.03046417236328125]
['BO', 26, 'CO', 168, 'gvmap', 'tty', 'O3', 'O1', 0.97677793904209, 0.26738643646240234]
['BO', 3, 'CO', 262, 'openssl', 'true', 'O1', 'O2', 0.9986501687289089, 1.654465675354004]
['CO', 107, 'UO', 28, 'unlink', 'readelf', 'O1', 'O2', 0.9708193041526375, 0.4449596405029297]
['BO', 83, 'CO', 73, 'lua', 'hostid', 'O2', 'O3', 0.9955766192733018, 0.5881879329681396]
['CO', 164, 'BO', 59, 'base64', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9933581786649939, 8.715124130249023]
['CO', 323, 'BO', 9, 'groups', 'git', 'O0', 'O0', 0.9912603296845931, 5.263620138168335]
['CO', 185, 'UO', 41, 'cat', 'locate', 'O1', 'O2', 0.9655172413793104, 0.23151254653930664]
['CO', 183, 'BO', 76, 'link', 'openssl', 'O1', 'O2', 0.9944345503116652, 2.7692511081695557]
['BO', 35, 'CO', 185, 'make', 'cat', 'O3', 'O1', 0.9829749103942652, 0.4311492443084717]
['BO', 16, 'CO', 251, 'make', 'chroot', 'O0', 'O2', 0.9851239669421488, 0.5017807483673096]
['UO', 40, 'BO', 24, 'objdump', 'cluster', 'O2', 'O3', 0.9863447939526945, 5.540554046630859]
