['BO', 21, 'CO', 184, 'cp', 'uname', 'O1', 'O1', 0.9659318637274549, 0.14291667938232422]
['BO', 78, 'UO', 72, 'ssh', 'strings', 'O0', 'O0', 0.9798207766345834, 43.03856182098389]
['UO', 0, 'CO', 144, 'locate', 'sync', 'O1', 'O1', 0.9802513464991023, 0.2096548080444336]
['CO', 161, 'UO', 84, 'od', 'sdiff', 'O1', 'O0', 0.9331742243436754, 0.16541147232055664]
['CO', 60, 'UO', 4, 'base64', 'strip', 'O3', 'O1', 0.979041401820993, 1.3291559219360352]
['UO', 42, 'CO', 332, 'xargs', 'mkfifo', 'O2', 'O0', 0.9615384615384616, 0.34725284576416016]
['CO', 129, 'BO', 79, 'chgrp', 'bash', 'O1', 'O3', 0.9749386610585349, 3.9827051162719727]
['UO', 71, 'CO', 362, 'c++filt', 'dircolors', 'O0', 'O0', 0.9985795454545454, 1.7200570106506348]
['CO', 178, 'UO', 81, 'unexpand', 'diff3', 'O1', 'O0', 0.8901098901098901, 0.12400937080383301]
['CO', 351, 'BO', 56, 'paste', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9854932301740812, 0.6310057640075684]
['BO', 26, 'CO', 363, 'gvmap', 'realpath', 'O3', 'O0', 0.9568345323741008, 0.4365861415863037]
['CO', 335, 'BO', 82, 'pr', 'cp', 'O0', 'O3', 0.9346696362286563, 0.3683195114135742]
['BO', 1, 'CO', 223, 'ssh', 'join', 'O2', 'O2', 0.995890813031993, 1.587001085281372]
['UO', 49, 'CO', 282, 'c++filt', 'unexpand', 'O3', 'O2', 0.9937486045992409, 0.8457651138305664]
['BO', 73, 'CO', 238, 'cluster', 'expand', 'O1', 'O2', 0.975975975975976, 0.25650477409362793]
['UO', 15, 'CO', 218, 'elfedit', 'users', 'O1', 'O2', 0.9585062240663901, 0.07488203048706055]
['UO', 40, 'CO', 138, 'objdump', 'tail', 'O2', 'O1', 0.9952393546680772, 2.726877450942993]
['CO', 85, 'UO', 87, '[', 'find', 'O3', 'O0', 0.977842945584881, 0.8567934036254883]
['BO', 38, 'CO', 48, 'acyclic', 'ls', 'O2', 'O3', 0.9936440677966102, 0.11454010009765625]
['UO', 62, 'CO', 304, 'diff3', 'fold', 'O3', 'O2', 0.9540229885057472, 0.07545948028564453]
['UO', 34, 'CO', 271, 'ld', 'logname', 'O2', 'O2', 0.997430039977156, 0.9726598262786865]
['CO', 17, 'UO', 5, 'stdbuf', 'readelf', 'O3', 'O1', 0.9656742556917688, 0.6341733932495117]
['CO', 411, 'UO', 60, 'sort', 'xargs', 'O0', 'O3', 0.979002624671916, 0.5366630554199219]
['CO', 30, 'BO', 2, 'expand', 'perl', 'O3', 'O1', 0.990383514596451, 3.212006092071533]
['UO', 11, 'CO', 349, 'ld', 'truncate', 'O1', 'O0', 0.995033797765209, 1.6923441886901855]
['CO', 386, 'UO', 44, 'unexpand', 'nm', 'O0', 'O3', 0.9641408751334045, 1.2006924152374268]
['CO', 167, 'BO', 59, 'logname', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9944540984212666, 6.91422438621521]
['CO', 379, 'BO', 23, 'nohup', 'git', 'O0', 'O2', 0.9919497944167929, 5.2387306690216064]
['CO', 257, 'UO', 9, 'nice', 'strings', 'O2', 'O1', 0.9813084112149533, 0.8187916278839111]
['CO', 232, 'BO', 26, 'tee', 'gvmap', 'O2', 'O3', 0.9657387580299786, 0.2718207836151123]
['UO', 77, 'CO', 194, 'ar', 'tr', 'O0', 'O1', 0.9951573849878934, 1.8735284805297852]
['UO', 19, 'CO', 186, 'cmp', 'shuf', 'O1', 'O1', 0.8918128654970761, 0.11177682876586914]
['CO', 17, 'BO', 33, 'stdbuf', 'sort', 'O3', 'O2', 0.9137104506232023, 0.20084786415100098]
['BO', 36, 'UO', 87, 'cluster', 'find', 'O2', 'O0', 0.9381175247009881, 2.5281193256378174]
['UO', 84, 'CO', 228, 'sdiff', 'mkfifo', 'O0', 'O2', 0.9392, 0.0815582275390625]
['BO', 51, 'CO', 270, 'lua', 'printf', 'O1', 'O2', 0.9892697466467958, 0.7137539386749268]
['UO', 16, 'CO', 372, 'size', 'base64', 'O1', 'O0', 0.9888980263157895, 1.293503999710083]
