['BV', 13, 'CV', 260, 'cp', 'ln', 'V2', 'V0', 0.9734806629834254, 0.12209534645080566]
['CV', 339, 'UV', 79, 'rm', 'strings', 'V1', 'V0', 0.9733566280847347, 1.223114252090454]
['BV', 4, 'CV', 125, 'geany', 'split', 'V3', 'V3', 0.9990114099765209, 8.455742835998535]
['CV', 71, 'BV', 8, '[', 'cluster', 'V2', 'V2', 0.9588537839823659, 0.2579832077026367]
['CV', 250, 'BV', 10, 'comm', 'gvmap', 'V0', 'V2', 0.9605839416058394, 0.21079421043395996]
['CV', 206, 'UV', 13, 'paste', 'strings', 'V0', 'V2', 0.9829954218443427, 0.6403439044952393]
['UV', 76, 'CV', 330, 'as', 'csplit', 'V0', 'V1', 0.9962501674032409, 2.938707113265991]
['UV', 69, 'CV', 102, 'sdiff', 'uptime', 'V0', 'V3', 0.9422283356258597, 0.11576986312866211]
['BV', 29, 'CV', 312, 'perl', 'printf', 'V3', 'V1', 0.998727634194831, 1.8597989082336426]
['CV', 246, 'BV', 20, 'id', 'sort', 'V0', 'V1', 0.8695652173913043, 0.07126641273498535]
['BV', 4, 'CV', 254, 'geany', 'uniq', 'V3', 'V0', 0.9993345256415589, 4.2491209506988525]
['UV', 50, 'BV', 78, 'find', 'make', 'V1', 'V2', 0.9699428914938383, 2.1142921447753906]
['BV', 22, 'CV', 22, 'cmp', 'kill', 'V3', 'V2', 0.9348268839103869, 0.05410122871398926]
['BV', 56, 'CV', 270, 'ssh', 'users', 'V3', 'V1', 0.9984620116887112, 0.9593324661254883]
['UV', 72, 'CV', 119, 'find', 'paste', 'V0', 'V3', 0.9804364183596689, 0.2249753475189209]
['BV', 56, 'UV', 54, 'ssh', 'as', 'V3', 'V1', 0.9624732215409618, 32.48988080024719]
['UV', 50, 'CV', 145, 'find', 'readlink', 'V1', 'V3', 0.9873997709049256, 0.3428981304168701]
['CV', 193, 'UV', 61, 'pr', 'addr2line', 'V0', 'V1', 0.9751088985687617, 1.2684292793273926]
['CV', 201, 'UV', 17, 'expr', 'addr2line', 'V0', 'V2', 0.9543177719895812, 1.86265230178833]
['CV', 259, 'UV', 71, 'mknod', 'xargs', 'V0', 'V0', 0.8469656992084433, 0.03838014602661133]
['CV', 201, 'BV', 53, 'expr', 'ssh', 'V0', 'V2', 0.9721357640432785, 5.337000131607056]
['CV', 113, 'BV', 45, 'date', 'svn', 'V3', 'V3', 0.9856957087126138, 1.2532546520233154]
['CV', 111, 'UV', 56, 'factor', 'c++filt', 'V3', 'V1', 0.9704433497536946, 1.5743827819824219]
['BV', 34, 'CV', 252, 'svn', 'rm', 'V0', 'V0', 0.9905437352245863, 0.6782271862030029]
['BV', 46, 'CV', 56, 'cluster', 'yes', 'V3', 'V2', 0.9876543209876543, 0.19752240180969238]
