['CO', 271, 'UO', 22, 'logname', 'diff3', 'O2', 'O2', 0.8773946360153256, 0.059723854064941406]
['CO', 366, 'BO', 23, 'true', 'git', 'O0', 'O2', 0.9939273011191117, 4.273455381393433]
['CO', 375, 'BO', 57, 'logname', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.9901178259217027, 2.571089029312134]
['CO', 235, 'BO', 39, 'wc', 'codeblocks', 'O2', 'O3', 0.9954811919882756, 5.130791664123535]
['CO', 387, 'BO', 27, 'mv', 'perl', 'O0', 'O3', 0.9749488136818018, 14.737199068069458]
['UO', 8, 'CO', 333, 'c++filt', 'mktemp', 'O1', 'O0', 0.9892339544513458, 1.4566590785980225]
['UO', 82, 'CO', 337, 'cmp', 'chgrp', 'O0', 'O0', 0.9151376146788991, 0.17711281776428223]
['CO', 374, 'BO', 30, 'printf', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9872647785592092, 3.188690662384033]
['UO', 40, 'CO', 385, 'objdump', 'hostid', 'O2', 'O0', 0.9967226546497338, 1.420112133026123]
['CO', 110, 'BO', 77, 'mkdir', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.975653742110009, 2.8358707427978516]
['BO', 27, 'CO', 270, 'perl', 'printf', 'O3', 'O2', 0.9984590690208668, 2.8628735542297363]
['UO', 35, 'CO', 361, 'gprof', 'nice', 'O2', 'O0', 0.9944100618886005, 1.0597503185272217]
['CO', 20, 'BO', 27, 'mkfifo', 'perl', 'O3', 'O3', 0.9912635703732254, 2.8937435150146484]
['UO', 23, 'BO', 35, 'cmp', 'make', 'O2', 'O3', 0.9572425828970331, 0.5326087474822998]
['BO', 16, 'CO', 1, 'make', 'touch', 'O0', 'O3', 0.9901178259217027, 0.8232836723327637]
['CO', 379, 'BO', 55, 'nohup', 'make', 'O0', 'O1', 0.9714022140221402, 0.47440528869628906]
['BO', 14, 'CO', 104, 'cmp', 'sha384sum', 'O0', 'O1', 0.9269102990033222, 0.09582281112670898]
['UO', 83, 'CO', 52, 'diff', 'sha256sum', 'O0', 'O3', 0.9747023809523809, 0.26489830017089844]
['BO', 9, 'CO', 77, 'git', 'env', 'O0', 'O3', 0.9992208129518203, 4.097999095916748]
['UO', 22, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9903078029758073, 10.021098613739014]
['UO', 42, 'CO', 244, 'xargs', 'pinky', 'O2', 'O2', 0.9723756906077348, 0.14726805686950684]
['BO', 58, 'CO', 364, 'svn', 'sha256sum', 'O1', 'O0', 0.983399209486166, 0.8421308994293213]
['CO', 40, 'BO', 18, 'sync', 'libvlc.so.12.0.0', 'O3', 'O1', 0.9746063991874048, 0.5017440319061279]
['UO', 23, 'BO', 33, 'cmp', 'sort', 'O2', 'O2', 0.9263565891472868, 0.19491863250732422]
['CO', 107, 'BO', 78, 'unlink', 'ssh', 'O1', 'O0', 0.9884174447464839, 1.6384849548339844]
['UO', 19, 'CO', 228, 'cmp', 'mkfifo', 'O1', 'O2', 0.93058568329718, 0.05089998245239258]
['BO', 42, 'CO', 108, 'cmp', 'test', 'O1', 'O1', 0.8952879581151832, 0.08272123336791992]
['CO', 296, 'BO', 30, 'shred', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.9880997355496789, 3.5901780128479004]
['CO', 194, 'UO', 63, 'tr', 'cmp', 'O1', 'O3', 0.9192982456140351, 0.07704377174377441]
['UO', 62, 'CO', 206, 'diff3', 'mknod', 'O3', 'O1', 0.9183673469387755, 0.08960747718811035]
['BO', 26, 'UO', 38, 'gvmap', 'elfedit', 'O3', 'O2', 0.9849624060150376, 0.2741053104400635]
['CO', 103, 'UO', 48, 'ln', 'ranlib', 'O3', 'O3', 0.967187801582706, 2.3057990074157715]
['UO', 37, 'CO', 8, 'ar', 'dir', 'O2', 'O3', 0.9902421395012649, 3.144002676010132]
['BO', 2, 'CO', 104, 'perl', 'sha384sum', 'O1', 'O1', 0.9973657083953729, 3.3895487785339355]
['UO', 39, 'CO', 120, 'size', 'dirname', 'O2', 'O1', 0.9930359085963003, 0.8346335887908936]
['BO', 33, 'CO', 147, 'sort', 'chroot', 'O2', 'O1', 0.9509803921568627, 0.18403863906860352]
