['CO', 51, 'BO', 49, 'realpath', 'svn', 'O3', 'O0', 0.9856989631748302, 0.9066805839538574]
['CO', 42, 'BO', 58, 'sum', 'svn', 'O3', 'O1', 0.9792332268370607, 0.7488462924957275]
['BO', 59, 'CO', 223, 'libgeany.so.0.0.0', 'join', 'O3', 'O2', 0.9994103556292611, 6.760202407836914]
['CO', 95, 'BO', 48, 'sha224sum', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9959951369520131, 4.958475589752197]
['BO', 34, 'UO', 81, 'cp', 'diff3', 'O2', 'O0', 0.956661316211878, 0.32044506072998047]
['BO', 51, 'UO', 6, 'lua', 'as', 'O1', 'O1', 0.9659960328705015, 16.50591778755188]
['UO', 29, 'CO', 31, 'as', 'date', 'O2', 'O3', 0.9963517915309447, 2.5358259677886963]
['CO', 351, 'UO', 78, 'paste', 'elfedit', 'O0', 'O0', 0.9616724738675958, 0.10774827003479004]
['CO', 99, 'UO', 56, 'sort', 'elfedit', 'O3', 'O3', 0.9894459102902374, 0.23582005500793457]
['UO', 60, 'CO', 253, 'xargs', 'split', 'O3', 'O2', 0.9567827130852341, 0.19152164459228516]
['CO', 89, 'BO', 17, 'pathchk', 'codeblocks', 'O3', 'O2', 0.99603026919737, 4.437670707702637]
['UO', 44, 'BO', 47, 'nm', 'libvlc.so.12.0.0', 'O3', 'O0', 0.9830561656730468, 7.456021308898926]
['BO', 14, 'CO', 210, 'cmp', 'stat', 'O0', 'O2', 0.895910780669145, 0.15688538551330566]
['BO', 61, 'CO', 337, 'git', 'chgrp', 'O1', 'O0', 0.9987170715018816, 8.951724529266357]
['CO', 91, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9963253070302679, 7.3393473625183105]
['UO', 44, 'CO', 14, 'nm', 'stty', 'O3', 'O3', 0.9932645758787624, 1.2458972930908203]
['CO', 154, 'BO', 7, 'dircolors', 'sort', 'O1', 'O0', 0.9021739130434783, 0.2635047435760498]
['CO', 249, 'BO', 50, 'echo', 'perl', 'O2', 'O2', 0.9926910299003322, 1.8560023307800293]
['BO', 27, 'CO', 36, 'perl', 'pinky', 'O3', 'O3', 0.9985930805141652, 3.4079790115356445]
['CO', 121, 'UO', 3, 'stdbuf', 'nm', 'O1', 'O1', 0.9690301548492257, 1.2067654132843018]
['BO', 82, 'CO', 306, 'cp', 'sleep', 'O3', 'O2', 0.9645320197044335, 0.1279897689819336]
['CO', 44, 'BO', 43, 'seq', 'diff', 'O3', 'O1', 0.9031719532554257, 0.22823119163513184]
['BO', 78, 'CO', 329, 'ssh', 'stdbuf', 'O0', 'O0', 0.9950986112731941, 2.2381136417388916]
['UO', 54, 'BO', 3, 'addr2line', 'openssl', 'O3', 'O1', 0.9826952526799387, 31.757330656051636]
['UO', 11, 'CO', 309, 'ld', 'rmdir', 'O1', 'O2', 0.9963858771198221, 1.3347160816192627]
['BO', 46, 'CO', 343, 'ruby', 'date', 'O3', 'O0', 0.9990536064354762, 10.708529472351074]
['BO', 77, 'CO', 10, 'libSDL2-2.0.so.0.16.0', 'users', 'O3', 'O3', 0.9965982537702688, 1.7920873165130615]
['CO', 342, 'BO', 37, 'expand', 'gvmap', 'O0', 'O2', 0.9434092477570738, 0.3408992290496826]
['UO', 30, 'BO', 11, 'ranlib', 'ssh', 'O2', 'O1', 0.9694697375468666, 21.93155074119568]
['BO', 35, 'CO', 39, 'make', 'paste', 'O3', 'O3', 0.9797267518730718, 0.4456632137298584]
['CO', 363, 'BO', 3, 'realpath', 'openssl', 'O0', 'O1', 0.9914172535211268, 4.089705467224121]
['CO', 163, 'BO', 60, 'tsort', 'openssl', 'O1', 'O0', 0.9907704654895666, 3.4320197105407715]
['BO', 67, 'CO', 128, 'libSDL2-2.0.so.0.16.0', 'tee', 'O1', 'O1', 0.9928930278152187, 2.1772005558013916]
['BO', 13, 'CO', 227, 'ruby', 'dd', 'O1', 'O2', 0.9993904091032241, 8.84112024307251]
['UO', 80, 'CO', 260, 'objdump', 'sha256sum', 'O0', 'O2', 0.9981315396113603, 2.2291207313537598]
['UO', 1, 'BO', 58, 'xargs', 'svn', 'O1', 'O1', 0.9292557111274871, 1.0356271266937256]
['CO', 113, 'UO', 6, 'du', 'as', 'O1', 'O1', 0.9614351964852331, 4.434062480926514]
['CO', 32, 'BO', 54, 'expr', 'lua', 'O3', 'O3', 0.9656336299478367, 0.8157706260681152]
['CO', 218, 'UO', 77, 'users', 'ar', 'O2', 'O0', 0.9926470588235294, 1.685875415802002]
['UO', 26, 'CO', 266, 'nm', 'df', 'O2', 'O2', 0.9908, 2.009812355041504]
['BO', 46, 'CO', 187, 'ruby', 'csplit', 'O3', 'O1', 0.9980310951184738, 7.882507801055908]
['UO', 46, 'CO', 163, 'readelf', 'tsort', 'O3', 'O1', 0.9842857142857143, 0.5611448287963867]
['CO', 90, 'UO', 33, 'tr', 'objcopy', 'O3', 'O2', 0.9709027169149869, 1.4045522212982178]
['CO', 11, 'UO', 75, 'groups', 'gprof', 'O3', 'O0', 0.9935648210215846, 2.145484209060669]
