['CO', 110, 'BO', 42, 'mkdir', 'cmp', 'O1', 'O1', 0.9334442595673877, 0.08661913871765137]
['CO', 359, 'UO', 54, 'numfmt', 'addr2line', 'O0', 'O3', 0.9642255892255892, 1.714404821395874]
['UO', 62, 'CO', 264, 'diff3', 'cut', 'O3', 'O2', 0.9502332814930016, 0.09103822708129883]
['CO', 288, 'UO', 50, 'uname', 'strings', 'O2', 'O3', 0.9874636221177524, 0.7996373176574707]
['BO', 50, 'CO', 254, 'perl', 'whoami', 'O2', 'O2', 0.998538982600611, 1.9252736568450928]
['CO', 120, 'BO', 64, 'dirname', 'dot', 'O1', 'O0', 0.9925373134328358, 0.03030228614807129]
['BO', 29, 'CO', 166, 'libvlc.so.12.0.0', 'printf', 'O2', 'O1', 0.9899142713061019, 0.537905216217041]
['CO', 62, 'UO', 24, 'printf', 'diff', 'O3', 'O2', 0.9077954735959766, 0.23335695266723633]
['CO', 124, 'BO', 11, 'mkfifo', 'ssh', 'O1', 'O1', 0.9809948032665182, 1.273153305053711]
['BO', 3, 'CO', 238, 'openssl', 'expand', 'O1', 'O2', 0.9968718578929728, 2.1425983905792236]
['UO', 63, 'CO', 168, 'cmp', 'tty', 'O3', 'O1', 0.9380165289256198, 0.05980825424194336]
['UO', 16, 'CO', 175, 'size', 'readlink', 'O1', 'O1', 0.9876186545604623, 1.2072868347167969]
['CO', 216, 'BO', 7, 'dir', 'sort', 'O2', 'O0', 0.953229398663697, 0.6989963054656982]
['CO', 124, 'BO', 43, 'mkfifo', 'diff', 'O1', 'O1', 0.9063063063063063, 0.1901559829711914]
['CO', 2, 'BO', 58, 'stat', 'svn', 'O3', 'O1', 0.98, 1.2061994075775146]
['CO', 292, 'UO', 31, 'vdir', 'c++filt', 'O2', 'O2', 0.9595443833464258, 2.903447389602661]
['UO', 81, 'CO', 392, 'diff3', 'uname', 'O0', 'O0', 0.9685264663805436, 0.10485100746154785]
['CO', 119, 'BO', 74, 'join', 'dot', 'O1', 'O1', 0.9949109414758269, 0.04129672050476074]
['CO', 59, 'UO', 75, 'tsort', 'gprof', 'O3', 'O0', 0.9927855711422846, 2.0365450382232666]
['CO', 43, 'UO', 80, 'chroot', 'objdump', 'O3', 'O0', 0.9933147632311977, 3.4955615997314453]
['CO', 279, 'UO', 35, 'readlink', 'gprof', 'O2', 'O2', 0.9729245470834162, 1.1653249263763428]
['CO', 349, 'UO', 47, 'truncate', 'as', 'O0', 'O3', 0.9794288807687103, 1.6876506805419922]
['CO', 348, 'BO', 41, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.9771570453134699, 3.1783199310302734]
['BO', 38, 'CO', 206, 'acyclic', 'mknod', 'O2', 'O1', 0.9612903225806452, 0.03758978843688965]
['BO', 61, 'CO', 199, 'git', 'sha224sum', 'O1', 'O1', 0.9987020853162586, 4.707718133926392]
['CO', 268, 'UO', 21, 'base64', 'sdiff', 'O2', 'O1', 0.8857142857142857, 0.07987022399902344]
['CO', 69, 'BO', 65, 'who', 'gvmap', 'O3', 'O0', 0.9719400096758587, 0.5468897819519043]
['UO', 67, 'BO', 15, 'strip', 'diff', 'O0', 'O0', 0.9969703527375027, 6.918715953826904]
['CO', 352, 'BO', 5, 'sync', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9925444102095934, 8.036762952804565]
['UO', 13, 'CO', 89, 'addr2line', 'pathchk', 'O1', 'O3', 0.9970960381663555, 1.008896827697754]
['CO', 91, 'BO', 34, 'comm', 'cp', 'O3', 'O2', 0.9008419083255379, 0.19493913650512695]
['CO', 143, 'BO', 47, 'paste', 'libvlc.so.12.0.0', 'O1', 'O0', 0.9764492753623188, 0.6545717716217041]
['BO', 19, 'UO', 54, 'libvlccore.so.9.0.0', 'addr2line', 'O1', 'O3', 0.986163957108267, 33.26374554634094]
['UO', 59, 'CO', 49, 'locate', 'nice', 'O3', 'O3', 0.9886792452830189, 0.1942751407623291]
['UO', 82, 'CO', 359, 'cmp', 'numfmt', 'O0', 'O0', 0.9192708333333334, 0.14129996299743652]
