['UV', 65, 'CV', 101, 'objdump', 'dirname', 'V1', 'V3', 0.9976072977418873, 1.2051105499267578]
['UV', 40, 'CV', 49, 'diff3', 'tsort', 'V3', 'V2', 0.9266347687400319, 0.08658695220947266]
['UV', 53, 'CV', 39, 'readelf', 'whoami', 'V1', 'V2', 0.9918478260869565, 0.20896077156066895]
['BV', 2, 'CV', 261, 'cmp', 'touch', 'V1', 'V1', 0.9303675048355899, 0.06399345397949219]
['CV', 168, 'BV', 0, 'sleep', 'bash', 'V3', 'V2', 0.986489252814739, 1.859304666519165]
['BV', 41, 'CV', 32, 'libvlccore.so', 'paste', 'V1', 'V2', 0.9994835377663008, 1.2903244495391846]
['UV', 72, 'BV', 30, 'find', 'bash', 'V0', 'V0', 0.9616546837553402, 7.02828049659729]
['CV', 143, 'UV', 23, 'yes', 'strip', 'V3', 'V3', 0.9822095712506671, 1.137624979019165]
['CV', 12, 'BV', 49, 'stty', 'make', 'V2', 'V3', 0.9565217391304348, 0.516610860824585]
['CV', 39, 'BV', 20, 'whoami', 'sort', 'V2', 'V1', 0.855072463768116, 0.07709503173828125]
['CV', 189, 'UV', 21, 'uptime', 'objdump', 'V0', 'V2', 0.9850093691442848, 1.0959930419921875]
['BV', 53, 'CV', 95, 'ssh', 'du', 'V2', 'V3', 0.9966464970474593, 7.00420355796814]
['CV', 259, 'UV', 44, 'mknod', 'diff3', 'V0', 'V1', 0.8782287822878229, 0.06001019477844238]
['CV', 347, 'BV', 42, 'ln', 'libvlc.so', 'V1', 'V1', 0.982896846606093, 0.4410247802734375]
['CV', 283, 'BV', 19, 'kill', 'cp', 'V1', 'V3', 0.9138276553106213, 0.1258983612060547]
['UV', 24, 'CV', 188, 'readelf', 'dirname', 'V3', 'V0', 0.9953934740882917, 0.2862582206726074]
['CV', 101, 'UV', 41, 'dirname', 'cmp', 'V3', 'V3', 0.8972332015810277, 0.06272482872009277]
['CV', 300, 'UV', 28, 'whoami', 'strings', 'V1', 'V3', 0.9817696754112939, 0.5993146896362305]
['CV', 14, 'UV', 69, 'dirname', 'sdiff', 'V2', 'V0', 0.8700854700854701, 0.0693352222442627]
