['UV', 23, 'CV', 52, 'strip', 'logname', 'V3', 'V2', 0.997131074054151, 0.8019883632659912]
['CV', 144, 'UV', 27, 'who', 'c++filt', 'V3', 'V3', 0.9725085910652921, 1.3512942790985107]
['CV', 101, 'UV', 60, 'dirname', 'gprof', 'V3', 'V1', 0.9782355227361057, 1.0496268272399902]
['BV', 26, 'CV', 42, 'geany', 'dircolors', 'V2', 'V2', 0.9992825433837048, 4.120588064193726]
['UV', 70, 'CV', 311, 'locate', 'cksum', 'V0', 'V1', 0.9869960988296489, 0.07360315322875977]
['CV', 262, 'UV', 35, 'stat', 'size', 'V1', 'V3', 0.9799345692475463, 0.8424410820007324]
['UV', 64, 'BV', 4, 'size', 'geany', 'V1', 'V3', 0.9775859030837004, 96.85078358650208]
['CV', 309, 'UV', 63, 'df', 'elfedit', 'V1', 'V1', 0.9847908745247148, 0.08889293670654297]
['CV', 56, 'BV', 71, 'yes', 'ruby', 'V2', 'V1', 1.0, 0.009463071823120117]
['CV', 217, 'UV', 26, 'chmod', 'ranlib', 'V0', 'V3', 0.9720251368335698, 1.1445527076721191]
['BV', 59, 'CV', 152, 'make', 'env', 'V1', 'V3', 0.9867549668874173, 0.41199445724487305]
['CV', 200, 'UV', 14, 'date', 'objcopy', 'V0', 'V2', 0.9787196930054073, 1.2103557586669922]
['BV', 28, 'UV', 74, 'openssl', 'strip', 'V1', 'V0', 0.9905343033716655, 81.35164737701416]
['BV', 56, 'CV', 49, 'ssh', 'tsort', 'V3', 'V2', 0.9975583702121166, 1.1512715816497803]
['CV', 14, 'UV', 85, 'dirname', 'elfedit', 'V2', 'V0', 0.9683257918552036, 0.06446361541748047]
['CV', 83, 'UV', 76, 'tac', 'as', 'V2', 'V0', 0.9690569083815418, 3.0332236289978027]
['CV', 8, 'BV', 7, 'du', 'libSDL2-2.0.so', 'V2', 'V0', 0.969857568731368, 3.685704231262207]
['CV', 89, 'UV', 31, 'unlink', 'gprof', 'V3', 'V3', 0.9768046390721855, 1.0171997547149658]
['CV', 111, 'BV', 54, 'factor', 'lua', 'V3', 'V3', 0.9551435406698565, 0.9799611568450928]
['BV', 81, 'CV', 130, 'dot', 'chmod', 'V1', 'V3', 0.9961389961389961, 0.04694175720214844]
['CV', 255, 'UV', 32, 'sleep', 'addr2line', 'V0', 'V3', 0.9823204419889503, 0.6316888332366943]
['CV', 9, 'BV', 57, 'users', 'svn', 'V2', 'V2', 0.9824642362713428, 0.5024838447570801]
['UV', 16, 'CV', 263, 'gprof', 'unlink', 'V2', 'V1', 0.9983951855566701, 0.5790369510650635]
['BV', 37, 'CV', 147, 'geany', 'hostid', 'V1', 'V3', 0.9993444465255665, 4.164407253265381]
['UV', 86, 'CV', 246, 'size', 'id', 'V0', 'V0', 0.9973669362422418, 0.7089791297912598]
['UV', 72, 'BV', 79, 'find', 'bash', 'V0', 'V3', 0.9607129865405603, 8.799944877624512]
['CV', 51, 'BV', 27, 'printf', 'libSDL2-2.0.so', 'V2', 'V1', 0.9756897022671401, 2.1561684608459473]
['UV', 81, 'BV', 82, 'ld', 'gvmap', 'V0', 'V1', 0.983377308707124, 5.572303533554077]
['CV', 276, 'BV', 56, 'uptime', 'ssh', 'V1', 'V3', 0.9861857252494244, 1.0869176387786865]
['CV', 21, 'UV', 39, 'chgrp', 'find', 'V2', 'V3', 0.9561621174524401, 0.7209010124206543]
['CV', 90, 'BV', 23, 'test', 'diff', 'V3', 'V3', 0.8979423868312757, 0.2192215919494629]
['CV', 70, 'UV', 67, 'vdir', 'cmp', 'V2', 'V0', 0.9630836047774158, 0.1591963768005371]
['UV', 55, 'CV', 279, 'ranlib', 'pwd', 'V1', 'V1', 0.997989545637314, 0.7280657291412354]
['BV', 41, 'UV', 35, 'libvlccore.so', 'size', 'V1', 'V3', 0.9844390529574165, 27.34445309638977]
['UV', 82, 'CV', 134, 'gprof', 'od', 'V0', 'V3', 0.9953316475393892, 1.578465461730957]
['CV', 176, 'UV', 34, 'unlink', 'elfedit', 'V0', 'V3', 0.9609756097560975, 0.0526270866394043]
