['UV', 54, 'CV', 294, 'as', 'sync', 'V1', 'V1', 0.9986351849324416, 0.8268857002258301]
['CV', 303, 'BV', 41, 'dircolors', 'libvlccore.so', 'V1', 'V1', 0.9914684591520165, 1.5412042140960693]
['CV', 87, 'UV', 30, 'touch', 'ld', 'V3', 'V3', 0.9747703277115042, 2.783829689025879]
['BV', 48, 'CV', 170, 'gvmap', 'tac', 'V3', 'V3', 0.9736147757255936, 0.3585245609283447]
['UV', 14, 'BV', 38, 'objcopy', 'ruby', 'V2', 'V2', 0.9981890619340819, 0.15665316581726074]
['CV', 36, 'BV', 14, 'chroot', 'openssl', 'V2', 'V3', 0.9964783963158608, 2.257403612136841]
['CV', 60, 'UV', 29, 'hostid', 'objcopy', 'V2', 'V3', 0.9835007173601148, 0.9549787044525146]
['CV', 21, 'UV', 47, 'chgrp', 'sdiff', 'V2', 'V1', 0.8784810126582279, 0.13808131217956543]
['CV', 339, 'BV', 1, 'rm', 'libSDL2-2.0.so', 'V1', 'V3', 0.9785114717403469, 2.7666773796081543]
['CV', 15, 'UV', 71, 'uptime', 'xargs', 'V2', 'V0', 0.8768577494692145, 0.09991955757141113]
['BV', 34, 'CV', 9, 'svn', 'users', 'V0', 'V2', 0.9862407862407863, 0.5787971019744873]
['CV', 81, 'UV', 13, 'sleep', 'strings', 'V2', 'V2', 0.9776199698730363, 0.823089599609375]
['CV', 86, 'BV', 10, 'ln', 'gvmap', 'V2', 'V2', 0.9533678756476685, 0.3844156265258789]
['UV', 24, 'BV', 68, 'readelf', 'dot', 'V3', 'V0', 0.994503337259521, 0.16786861419677734]
['CV', 149, 'UV', 55, 'unexpand', 'ranlib', 'V3', 'V1', 0.9763918945504624, 1.2405602931976318]
['UV', 43, 'CV', 224, 'sdiff', 'cksum', 'V3', 'V0', 0.9546313799621928, 0.04849433898925781]
['BV', 75, 'UV', 62, 'cmp', 'ar', 'V2', 'V1', 0.9787944237188297, 1.3295373916625977]
['UV', 31, 'BV', 3, 'gprof', 'diff', 'V3', 'V1', 0.9895476662461705, 2.9317729473114014]
['BV', 16, 'CV', 179, 'libvlc.so', 'mkdir', 'V3', 'V0', 0.9912875121006777, 0.40946173667907715]
['UV', 57, 'CV', 264, 'strings', 'test', 'V1', 'V1', 0.9965804659115196, 0.7111024856567383]
['CV', 162, 'UV', 58, 'tr', 'objcopy', 'V3', 'V1', 0.9730423620025674, 1.5721111297607422]
['CV', 181, 'UV', 47, 'dir', 'sdiff', 'V0', 'V1', 0.9311875693673696, 0.17473483085632324]
['CV', 315, 'UV', 58, 'false', 'objcopy', 'V1', 'V1', 0.9864238410596027, 0.711449146270752]
['BV', 80, 'CV', 273, 'cluster', 'stty', 'V1', 'V1', 0.986496624156039, 0.2458040714263916]
['CV', 187, 'UV', 65, 'join', 'objdump', 'V0', 'V1', 0.9791044776119403, 1.4648644924163818]
['CV', 114, 'BV', 70, 'expr', 'ssh', 'V3', 'V0', 0.9754753589445091, 3.5048043727874756]
['UV', 86, 'CV', 187, 'size', 'join', 'V0', 'V0', 0.9962873584555412, 0.9818210601806641]
['CV', 277, 'UV', 52, 'dd', 'strip', 'V1', 'V1', 0.9771960815802152, 1.6784336566925049]
['BV', 81, 'CV', 96, 'dot', 'users', 'V1', 'V3', 0.993993993993994, 0.031665802001953125]
['UV', 35, 'CV', 244, 'size', 'vdir', 'V3', 'V0', 0.9902140672782874, 2.0047314167022705]
['UV', 73, 'CV', 222, 'nm', 'df', 'V0', 'V0', 0.9939720129171152, 1.032310962677002]
['UV', 40, 'CV', 201, 'diff3', 'expr', 'V3', 'V0', 0.8890074706510138, 0.17835521697998047]
['UV', 61, 'CV', 185, 'addr2line', 'printenv', 'V1', 'V0', 0.9978462201163041, 0.5127658843994141]
['BV', 70, 'CV', 324, 'ssh', 'mv', 'V0', 'V1', 0.9960134927936216, 4.800947189331055]
['CV', 86, 'UV', 73, 'ln', 'nm', 'V2', 'V0', 0.9673521305914776, 1.3961350917816162]
['CV', 152, 'BV', 83, 'env', 'git', 'V3', 'V2', 0.9927029492246884, 5.3942506313323975]
['BV', 1, 'CV', 214, 'libSDL2-2.0.so', 'ls', 'V3', 'V0', 0.9949666265455739, 3.7189431190490723]
['BV', 71, 'CV', 9, 'ruby', 'users', 'V1', 'V2', 0.9916666666666667, 0.012883901596069336]
['CV', 108, 'BV', 46, 'chgrp', 'cluster', 'V3', 'V3', 0.950186799501868, 0.5096926689147949]
['UV', 11, 'CV', 25, 'ranlib', 'expand', 'V2', 'V2', 0.9967689822294022, 0.816103458404541]
['UV', 61, 'BV', 67, 'addr2line', 'cluster', 'V1', 'V0', 0.9829524845846935, 3.378300666809082]
['CV', 170, 'UV', 30, 'tac', 'ld', 'V3', 'V3', 0.9770725569691039, 1.9257209300994873]
['CV', 312, 'BV', 65, 'printf', 'ssh', 'V1', 'V1', 0.9879536444037816, 2.0699450969696045]
['BV', 17, 'UV', 43, 'codeblocks', 'sdiff', 'V2', 'V3', 0.9984983105994244, 5.423885822296143]
['CV', 28, 'BV', 10, 'chown', 'gvmap', 'V2', 'V2', 0.9428926132836747, 0.45549774169921875]
