['CV', 286, 'UV', 21, 'expand', 'objdump', 'V1', 'V2', 0.9846443121278596, 0.9503252506256104]
['BV', 55, 'CV', 225, 'codeblocks', 'printf', 'V3', 'V0', 0.9993765974689858, 2.758108615875244]
['CV', 197, 'UV', 77, 'wc', 'ranlib', 'V0', 'V0', 0.9827186512118019, 0.7728209495544434]
['CV', 193, 'BV', 38, 'pr', 'ruby', 'V0', 'V2', 1.0, 0.014937639236450195]
['CV', 210, 'BV', 44, 'chroot', 'make', 'V0', 'V0', 0.9707158351409978, 0.23198294639587402]
['CV', 247, 'BV', 43, 'shred', 'lua', 'V0', 'V0', 0.9568567026194145, 0.5611379146575928]
['CV', 25, 'UV', 47, 'expand', 'sdiff', 'V2', 'V1', 0.87248322147651, 0.069854736328125]
['CV', 199, 'UV', 67, 'expand', 'cmp', 'V0', 'V0', 0.8627002288329519, 0.04431772232055664]
['BV', 70, 'CV', 180, 'ssh', 'fmt', 'V0', 'V0', 0.9992124744054182, 1.525831699371338]
['BV', 1, 'UV', 59, 'libSDL2-2.0.so', 'ld', 'V3', 'V1', 0.9840384116273034, 47.346874713897705]
['UV', 26, 'CV', 145, 'ranlib', 'readlink', 'V3', 'V3', 0.9927812312011229, 1.2455718517303467]
['CV', 84, 'UV', 50, 'rmdir', 'find', 'V2', 'V1', 0.9219219219219219, 0.27852654457092285]
['CV', 283, 'BV', 77, 'kill', 'perl', 'V1', 'V2', 0.9920920201294033, 1.9613699913024902]
['CV', 17, 'BV', 5, 'mkfifo', 'libvlccore.so', 'V2', 'V0', 0.9928438908030744, 1.4121720790863037]
['UV', 72, 'BV', 82, 'find', 'gvmap', 'V0', 'V1', 0.9638607315998237, 1.1301984786987305]
['CV', 301, 'BV', 47, 'ls', 'dot', 'V1', 'V3', 1.0, 0.0592496395111084]
['UV', 58, 'CV', 144, 'objcopy', 'who', 'V1', 'V3', 0.9961612284069098, 1.5934858322143555]
['BV', 39, 'CV', 109, 'svn', 'kill', 'V1', 'V3', 0.993662290629244, 0.5273633003234863]
['UV', 65, 'CV', 327, 'objdump', 'link', 'V1', 'V1', 0.9981818181818182, 0.7534747123718262]
['CV', 342, 'UV', 17, 'sleep', 'addr2line', 'V1', 'V2', 0.9766334919948074, 0.6665735244750977]
['UV', 61, 'CV', 217, 'addr2line', 'chmod', 'V1', 'V0', 0.9962335216572504, 0.9945287704467773]
['CV', 306, 'UV', 79, 'cp', 'strings', 'V1', 'V0', 0.9643841424634302, 1.6416127681732178]
['CV', 226, 'BV', 52, 'logname', 'libSDL2-2.0.so', 'V0', 'V2', 0.9874411302982732, 1.1675260066986084]
['UV', 82, 'CV', 90, 'gprof', 'test', 'V0', 'V3', 0.9963956748097718, 1.075793743133545]
['UV', 16, 'CV', 244, 'gprof', 'vdir', 'V2', 'V0', 0.9958955223880597, 2.1037545204162598]
['CV', 208, 'BV', 65, 'echo', 'ssh', 'V0', 'V1', 0.9906527735212994, 1.3204071521759033]
['CV', 226, 'UV', 81, 'logname', 'ld', 'V0', 'V0', 0.9910851521672303, 0.8385138511657715]
['UV', 38, 'CV', 125, 'xargs', 'split', 'V3', 'V3', 0.9699570815450643, 0.22681498527526855]
['CV', 284, 'UV', 68, 'wc', 'diff', 'V1', 'V0', 0.9233160621761658, 0.13809967041015625]
['UV', 74, 'CV', 236, 'strip', 'unexpand', 'V0', 'V0', 0.9979452054794521, 0.7151551246643066]
['UV', 54, 'BV', 79, 'as', 'bash', 'V1', 'V3', 0.9743110695936479, 53.154332876205444]
