['CV', 252, 'UV', 78, 'rm', 'c++filt', 'V0', 'V0', 0.9735099337748344, 1.1558856964111328]
['CV', 105, 'UV', 43, 'pwd', 'sdiff', 'V3', 'V3', 0.9043348281016442, 0.09758615493774414]
['CV', 72, 'BV', 4, 'id', 'geany', 'V2', 'V3', 0.9926852583018162, 5.646462678909302]
['UV', 50, 'CV', 223, 'find', 'tsort', 'V1', 'V0', 0.9962287869264613, 0.18151521682739258]
['CV', 276, 'BV', 55, 'uptime', 'codeblocks', 'V1', 'V3', 0.9961329757375413, 3.360560178756714]
['CV', 249, 'BV', 33, 'tr', 'openssl', 'V0', 'V0', 0.9896869244935543, 3.0547680854797363]
['BV', 21, 'UV', 38, 'cp', 'xargs', 'V1', 'V3', 0.9508021390374332, 0.22896242141723633]
['CV', 209, 'BV', 34, 'sum', 'svn', 'V0', 'V0', 0.9890054972513743, 0.4131660461425781]
['CV', 21, 'BV', 30, 'chgrp', 'bash', 'V2', 'V0', 0.9766946778711485, 2.6892197132110596]
['CV', 191, 'BV', 73, 'mkfifo', 'geany', 'V0', 'V0', 0.9951396014473187, 2.878079891204834]
['CV', 298, 'UV', 46, 'seq', 'diff', 'V1', 'V1', 0.9172633253778839, 0.15228819847106934]
['CV', 314, 'BV', 71, 'tty', 'ruby', 'V1', 'V1', 0.9873417721518988, 0.007931947708129883]
['CV', 151, 'BV', 28, 'md5sum', 'openssl', 'V3', 'V1', 0.9889935547843332, 4.351109981536865]
['CV', 51, 'BV', 4, 'printf', 'geany', 'V2', 'V3', 0.9928722390286354, 7.497718095779419]
['CV', 110, 'UV', 7, 'wc', 'nm', 'V3', 'V2', 0.9697155719255167, 1.370311975479126]
['BV', 73, 'UV', 83, 'geany', 'addr2line', 'V0', 'V0', 0.9941783540619211, 60.40722894668579]
['CV', 12, 'BV', 4, 'stty', 'geany', 'V2', 'V3', 0.9937015704636805, 7.775357007980347]
['BV', 16, 'CV', 67, 'libvlc.so', 'uname', 'V3', 'V2', 0.9931673987310883, 0.3267548084259033]
['CV', 308, 'BV', 36, 'od', 'libvlc.so', 'V1', 'V2', 0.9895437262357415, 0.5568830966949463]
['UV', 67, 'CV', 252, 'cmp', 'rm', 'V0', 'V0', 0.9378238341968912, 0.07662010192871094]
['BV', 2, 'CV', 280, 'cmp', 'pr', 'V1', 'V1', 0.9045996592844975, 0.07485103607177734]
['UV', 1, 'CV', 148, 'xargs', 'ginstall', 'V2', 'V3', 0.9137091162143354, 0.36464834213256836]
['CV', 61, 'BV', 59, 'ginstall', 'make', 'V2', 'V1', 0.9547079856972587, 1.0111100673675537]
['UV', 75, 'CV', 19, 'readelf', 'pr', 'V0', 'V2', 0.987146529562982, 0.3538341522216797]
['UV', 32, 'CV', 80, 'addr2line', 'uniq', 'V3', 'V2', 0.9956942949407965, 0.969045877456665]
['UV', 64, 'CV', 154, 'size', 'uname', 'V1', 'V3', 0.996219281663516, 0.8496115207672119]
['CV', 341, 'BV', 43, 'uniq', 'lua', 'V1', 'V0', 0.9598583234946871, 0.44553184509277344]
['CV', 255, 'BV', 13, 'sleep', 'cp', 'V0', 'V2', 0.9181708784596871, 0.0979607105255127]
['BV', 52, 'CV', 200, 'libSDL2-2.0.so', 'date', 'V2', 'V0', 0.9969052224371373, 1.5326144695281982]
['CV', 220, 'UV', 11, 'cut', 'ranlib', 'V0', 'V2', 0.9752736116740981, 0.7963695526123047]
['UV', 22, 'CV', 320, 'nm', 'head', 'V3', 'V1', 0.9948706988672793, 0.7990400791168213]
['BV', 30, 'CV', 249, 'bash', 'tr', 'V0', 'V0', 0.9981697552047586, 1.441789150238037]
['CV', 9, 'BV', 11, 'users', 'bash', 'V2', 'V1', 0.9868207842713622, 1.694429636001587]
['BV', 81, 'CV', 19, 'dot', 'pr', 'V1', 'V2', 0.9951690821256038, 0.037878990173339844]
