['BO', 48, 'UO', 23, 'libvlccore.so.9.0.0', 'cmp', 'O0', 'O2', 0.9989982110912343, 3.748941659927368]
['CO', 138, 'UO', 17, 'tail', 'objdump', 'O1', 'O1', 0.9697319481851995, 3.0709617137908936]
['BO', 55, 'UO', 3, 'make', 'nm', 'O1', 'O1', 0.9410507025045816, 7.509269952774048]
['BO', 43, 'CO', 378, 'diff', 'runcon', 'O1', 'O0', 0.9828030954428203, 0.43613624572753906]
['CO', 54, 'UO', 32, 'true', 'strings', 'O3', 'O2', 0.9750710693199213, 1.4910626411437988]
['BO', 37, 'CO', 17, 'gvmap', 'stdbuf', 'O2', 'O3', 0.965893587994543, 0.32270097732543945]
['CO', 388, 'UO', 24, 'md5sum', 'diff', 'O0', 'O2', 0.896234309623431, 0.25707483291625977]
['CO', 267, 'BO', 25, 'tsort', 'dot', 'O2', 'O3', 1.0, 0.029879331588745117]
['BO', 31, 'CO', 313, 'bash', 'touch', 'O2', 'O0', 0.9957588050894339, 3.9986865520477295]
['UO', 7, 'CO', 263, 'ranlib', 'cp', 'O1', 'O2', 0.9829120683517266, 3.33282470703125]
['CO', 294, 'BO', 79, 'timeout', 'bash', 'O2', 'O3', 0.9860950173812283, 2.431647539138794]
['UO', 7, 'CO', 370, 'ranlib', 'df', 'O1', 'O0', 0.9833151976786362, 2.8828163146972656]
['CO', 368, 'BO', 43, 'cut', 'diff', 'O0', 'O1', 0.916256157635468, 0.2885136604309082]
['CO', 383, 'UO', 11, 'readlink', 'ld', 'O0', 'O1', 0.9671772428884027, 2.263273000717163]
['CO', 267, 'BO', 77, 'tsort', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.9845014245014245, 2.0848867893218994]
['UO', 18, 'BO', 34, 'diff3', 'cp', 'O1', 'O2', 0.9005145797598628, 0.2729177474975586]
['UO', 17, 'CO', 327, 'objdump', 'join', 'O1', 'O0', 0.9966251298026999, 2.25068736076355]
['CO', 20, 'UO', 43, 'mkfifo', 'find', 'O3', 'O2', 0.9703186381492798, 0.474931001663208]
['CO', 319, 'UO', 8, 'fmt', 'c++filt', 'O0', 'O1', 0.9657118962993937, 1.3200366497039795]
['CO', 101, 'UO', 40, 'rmdir', 'objdump', 'O3', 'O2', 0.980756200027104, 1.7898437976837158]
['CO', 368, 'BO', 77, 'cut', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.975659229208925, 3.1601130962371826]
['UO', 0, 'CO', 328, 'locate', 'dirname', 'O1', 'O0', 0.9715048975957258, 0.23365473747253418]
['CO', 0, 'BO', 25, 'sha384sum', 'dot', 'O3', 'O3', 1.0, 0.035953521728515625]
['CO', 148, 'UO', 3, 'seq', 'nm', 'O1', 'O1', 0.971876910535969, 1.2215020656585693]
['CO', 262, 'UO', 34, 'true', 'ld', 'O2', 'O2', 0.9871263052496067, 1.1163907051086426]
['UO', 57, 'CO', 39, 'size', 'paste', 'O3', 'O3', 0.9934725848563969, 0.9550249576568604]
['BO', 71, 'CO', 53, 'libSDL2-2.0.so.0.16.0', 'chmod', 'O0', 'O3', 0.9960453741284213, 3.73745059967041]
['UO', 28, 'CO', 252, 'readelf', 'seq', 'O2', 'O2', 0.9904270986745214, 0.5324733257293701]
['UO', 45, 'CO', 22, 'strip', 'pwd', 'O3', 'O3', 0.9957378795950985, 1.165909767150879]
['UO', 19, 'BO', 78, 'cmp', 'ssh', 'O1', 'O0', 0.9927485380116959, 2.3359293937683105]
['CO', 126, 'UO', 71, 'pwd', 'c++filt', 'O1', 'O0', 0.9902871018425939, 1.8543376922607422]
['UO', 18, 'BO', 55, 'diff3', 'make', 'O1', 'O1', 0.9341421143847487, 0.6652560234069824]
['UO', 14, 'CO', 387, 'ar', 'mv', 'O1', 'O0', 0.984005222784397, 5.1942315101623535]
['CO', 138, 'BO', 16, 'tail', 'make', 'O1', 'O0', 0.9635535307517085, 0.8909823894500732]
['UO', 50, 'CO', 268, 'strings', 'base64', 'O3', 'O2', 0.9955644267021513, 0.8490555286407471]
['UO', 50, 'CO', 135, 'strings', 'date', 'O3', 'O1', 0.9898455680135393, 1.6307132244110107]
['CO', 231, 'BO', 10, 'pr', 'openssl', 'O2', 'O3', 0.990408719346049, 4.317796230316162]
['UO', 62, 'CO', 229, 'diff3', 'mktemp', 'O3', 'O2', 0.9296187683284457, 0.10431718826293945]
['BO', 9, 'CO', 275, 'git', 'nohup', 'O0', 'O2', 0.9989587400754913, 3.5784194469451904]
['BO', 60, 'CO', 282, 'openssl', 'unexpand', 'O0', 'O2', 0.9973829894313034, 2.5140535831451416]
['CO', 182, 'BO', 28, 'chcon', 'ruby', 'O1', 'O0', 0.989704249520541, 10.928993940353394]
['UO', 79, 'BO', 69, 'size', 'cmp', 'O0', 'O3', 0.9980359147025814, 1.8171064853668213]
['BO', 71, 'UO', 12, 'libSDL2-2.0.so.0.16.0', 'gprof', 'O0', 'O1', 0.978404489592953, 38.113391160964966]
['CO', 196, 'UO', 0, 'sha512sum', 'locate', 'O1', 'O1', 0.9452054794520548, 0.2748701572418213]
['CO', 82, 'BO', 22, 'shuf', 'perl', 'O3', 'O0', 0.9919450038191793, 5.729365587234497]
['CO', 300, 'UO', 52, 'sha512sum', 'ld', 'O2', 'O3', 0.9836688723074757, 1.625697374343872]
['CO', 131, 'UO', 41, 'wc', 'locate', 'O1', 'O2', 0.9508057675996607, 0.3001995086669922]
['CO', 141, 'UO', 53, 'truncate', 'gprof', 'O1', 'O3', 0.9772218832621518, 1.0476641654968262]
['CO', 244, 'BO', 14, 'pinky', 'cmp', 'O2', 'O0', 0.9027777777777778, 0.08687448501586914]
['CO', 288, 'BO', 10, 'uname', 'openssl', 'O2', 'O3', 0.994634473507713, 2.1017050743103027]
['UO', 76, 'CO', 61, 'addr2line', 'cksum', 'O0', 'O3', 0.9968789899276493, 1.4800386428833008]
['CO', 99, 'UO', 62, 'sort', 'diff3', 'O3', 'O3', 0.9812353401094606, 0.2796308994293213]
['BO', 30, 'CO', 292, 'libvlccore.so.9.0.0', 'vdir', 'O2', 'O2', 0.9961762563729061, 6.647724151611328]
['CO', 387, 'BO', 17, 'mv', 'codeblocks', 'O0', 'O2', 0.9863437408812372, 21.13423800468445]
['UO', 47, 'CO', 288, 'as', 'uname', 'O3', 'O2', 0.9975325565455792, 1.0879054069519043]
['CO', 130, 'BO', 33, 'kill', 'sort', 'O1', 'O2', 0.901840490797546, 0.17381739616394043]
['CO', 101, 'UO', 48, 'rmdir', 'ranlib', 'O3', 'O3', 0.9725634725634725, 1.123464584350586]
['CO', 311, 'BO', 26, 'ln', 'gvmap', 'O2', 'O3', 0.9473369239976063, 0.5272998809814453]
['CO', 412, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9956549027180998, 9.272472143173218]
['CO', 109, 'UO', 53, 'basename', 'gprof', 'O1', 'O3', 0.9791879208324832, 0.9425232410430908]
['UO', 12, 'BO', 41, 'gprof', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.980406099391641, 32.321351766586304]
['UO', 5, 'CO', 186, 'readelf', 'shuf', 'O1', 'O1', 0.9783491204330176, 0.9003069400787354]
['BO', 33, 'CO', 145, 'sort', 'echo', 'O2', 'O1', 0.9638682252922423, 0.14004969596862793]
['BO', 56, 'CO', 222, 'libvlc.so.12.0.0', 'stty', 'O3', 'O2', 0.9961685823754789, 0.546858549118042]
['UO', 49, 'BO', 46, 'c++filt', 'ruby', 'O3', 'O3', 0.9779916644178586, 111.0921471118927]
['CO', 380, 'UO', 66, 'yes', 'nm', 'O0', 'O0', 0.9896763392857143, 1.9292430877685547]
['UO', 79, 'CO', 390, 'size', 'chcon', 'O0', 'O0', 0.996244635193133, 3.489008903503418]
['CO', 211, 'UO', 33, 'unlink', 'objcopy', 'O2', 'O2', 0.9820111530850872, 0.8846919536590576]
['BO', 41, 'CO', 319, 'libSDL2-2.0.so.0.16.0', 'fmt', 'O2', 'O0', 0.9947735191637631, 2.090148448944092]
['CO', 77, 'UO', 26, 'env', 'nm', 'O3', 'O2', 0.9733163913595934, 1.0304265022277832]
['CO', 350, 'UO', 34, 'sha1sum', 'ld', 'O0', 'O2', 0.9745845552297165, 2.1724212169647217]
['UO', 80, 'BO', 75, 'objdump', 'gvmap', 'O0', 'O1', 0.9916009598902983, 9.130658388137817]
['BO', 74, 'CO', 216, 'dot', 'dir', 'O1', 'O2', 0.9880810488676997, 0.09193992614746094]
['BO', 64, 'CO', 221, 'dot', 'printenv', 'O0', 'O2', 0.9824561403508771, 0.025538206100463867]
['BO', 49, 'CO', 248, 'svn', 'sync', 'O0', 'O2', 0.9939278937381404, 0.5323708057403564]
['CO', 298, 'UO', 31, 'tr', 'c++filt', 'O2', 'O2', 0.9724710509067075, 1.0633471012115479]
['CO', 70, 'BO', 44, 'b2sum', 'cmp', 'O3', 'O2', 0.937984496124031, 0.09664726257324219]
['UO', 12, 'CO', 254, 'gprof', 'whoami', 'O1', 'O2', 0.9972446368825034, 0.8138988018035889]
['UO', 4, 'CO', 96, 'strip', 'fold', 'O1', 'O3', 0.9944913065932174, 1.2308111190795898]
['BO', 43, 'CO', 267, 'diff', 'tsort', 'O1', 'O2', 0.9696157283288651, 0.17852330207824707]
['CO', 103, 'UO', 41, 'ln', 'locate', 'O3', 'O2', 0.9599170697995854, 0.4892582893371582]
['BO', 3, 'CO', 67, 'openssl', 'nohup', 'O1', 'O3', 0.9984453081621322, 2.414679765701294]
['UO', 67, 'CO', 38, 'strip', 'sha1sum', 'O0', 'O3', 0.9981134300200448, 2.055281639099121]
['CO', 212, 'UO', 35, 'test', 'gprof', 'O2', 'O2', 0.9756535621632408, 1.072728157043457]
['BO', 71, 'CO', 8, 'libSDL2-2.0.so.0.16.0', 'dir', 'O0', 'O3', 0.9934144881261225, 7.067374229431152]
['UO', 37, 'CO', 271, 'ar', 'logname', 'O2', 'O2', 0.9971068402562513, 0.722771167755127]
['CO', 166, 'UO', 7, 'printf', 'ranlib', 'O1', 'O1', 0.9688109161793372, 1.3127758502960205]
['CO', 153, 'BO', 62, 'nice', 'bash', 'O1', 'O1', 0.9820289855072464, 2.052086353302002]
['CO', 248, 'BO', 4, 'sync', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9955923702408997, 5.496082067489624]
['UO', 75, 'CO', 160, 'gprof', 'cut', 'O0', 'O1', 0.9954454119223041, 1.8607866764068604]
['UO', 79, 'CO', 190, 'size', 'timeout', 'O0', 'O1', 0.9949558638083228, 2.0187673568725586]
['BO', 23, 'CO', 127, 'git', 'pr', 'O2', 'O1', 0.9980243944339461, 7.476369619369507]
['CO', 358, 'BO', 33, 'whoami', 'sort', 'O0', 'O2', 0.9214876033057852, 0.17849159240722656]
['BO', 60, 'CO', 394, 'openssl', 'shuf', 'O0', 'O0', 0.996079200156832, 5.242231130599976]
['BO', 62, 'CO', 369, 'bash', 'od', 'O1', 'O0', 0.9960268659540251, 3.61225962638855]
