['CV', 61, 'BV', 15, 'ginstall', 'libvlccore.so', 'V2', 'V3', 0.9866681237023276, 5.802058696746826]
['UV', 1, 'CV', 77, 'xargs', 'nl', 'V2', 'V2', 0.9219047619047619, 0.2148733139038086]
['CV', 97, 'UV', 83, 'ptx', 'addr2line', 'V3', 'V0', 0.9668345927791772, 1.7903225421905518]
['CV', 285, 'UV', 36, 'factor', 'objdump', 'V1', 'V3', 0.9859562164394878, 1.1243171691894531]
['CV', 153, 'UV', 65, 'link', 'objdump', 'V3', 'V1', 0.9802926246640788, 1.3987209796905518]
['BV', 37, 'UV', 57, 'geany', 'strings', 'V1', 'V1', 0.995943995943996, 74.29136967658997]
['CV', 326, 'UV', 29, 'env', 'objcopy', 'V1', 'V3', 0.9873280231716147, 0.7645540237426758]
['CV', 216, 'UV', 80, 'dircolors', 'objcopy', 'V0', 'V0', 0.9829526082509376, 0.966733455657959]
['CV', 96, 'UV', 32, 'users', 'addr2line', 'V3', 'V3', 0.973735199138859, 1.0523021221160889]
['BV', 53, 'CV', 86, 'ssh', 'ln', 'V2', 'V2', 0.9975959732552024, 3.2523298263549805]
['CV', 330, 'BV', 7, 'csplit', 'libSDL2-2.0.so', 'V1', 'V0', 0.9661016949152542, 3.129049062728882]
['BV', 64, 'CV', 234, 'openssl', 'hostid', 'V2', 'V0', 0.9984989492644851, 1.0019855499267578]
['BV', 10, 'CV', 148, 'gvmap', 'ginstall', 'V2', 'V3', 0.9559099437148217, 0.9913256168365479]
['CV', 330, 'UV', 58, 'csplit', 'objcopy', 'V1', 'V1', 0.9667947732513451, 2.784355640411377]
['CV', 225, 'UV', 0, 'printf', 'locate', 'V0', 'V2', 0.9123055162659123, 0.09997081756591797]
