['CV', 219, 'UV', 85, 'cp', 'elfedit', 'V0', 'V0', 0.974025974025974, 0.12309908866882324]
['CV', 200, 'UV', 86, 'date', 'size', 'V0', 'V0', 0.9803448915260523, 1.0889604091644287]
['CV', 236, 'BV', 10, 'unexpand', 'gvmap', 'V0', 'V2', 0.9733727810650887, 0.18732953071594238]
['CV', 202, 'BV', 46, 'chown', 'cluster', 'V0', 'V3', 0.9465165376495426, 0.32239341735839844]
['BV', 11, 'CV', 81, 'bash', 'sleep', 'V1', 'V2', 0.9978373702422145, 1.4841547012329102]
['CV', 278, 'UV', 84, 'mkfifo', 'ar', 'V1', 'V0', 0.9839085327122592, 0.6384985446929932]
['BV', 42, 'CV', 110, 'libvlc.so', 'wc', 'V1', 'V3', 0.992936427850656, 0.5275447368621826]
['CV', 297, 'UV', 78, 'chroot', 'c++filt', 'V1', 'V0', 0.9844571428571428, 0.6141881942749023]
['BV', 36, 'CV', 143, 'libvlc.so', 'yes', 'V2', 'V3', 0.9952153110047847, 0.40796661376953125]
['CV', 174, 'UV', 76, 'touch', 'as', 'V0', 'V0', 0.9817056009006473, 1.4055514335632324]
['CV', 345, 'BV', 45, 'rmdir', 'svn', 'V1', 'V3', 0.9862018881626725, 0.46750950813293457]
['CV', 127, 'UV', 35, 'ls', 'size', 'V3', 'V3', 0.9543552681627996, 3.268911838531494]
['UV', 83, 'CV', 111, 'addr2line', 'factor', 'V0', 'V3', 0.9948990435706695, 1.3408794403076172]
['BV', 31, 'CV', 45, 'codeblocks', 'cp', 'V0', 'V2', 0.9974445793138695, 8.58753752708435]
['UV', 68, 'BV', 70, 'diff', 'ssh', 'V0', 'V0', 0.9720636827876239, 7.624663829803467]
['UV', 5, 'BV', 69, 'diff', 'gvmap', 'V2', 'V0', 0.9582697201017811, 0.8151593208312988]
['UV', 81, 'CV', 55, 'ld', 'nohup', 'V0', 'V2', 0.9978768577494692, 1.1158733367919922]
['CV', 4, 'UV', 11, 'basename', 'ranlib', 'V2', 'V2', 0.9765087079789389, 0.7725114822387695]
['UV', 28, 'CV', 85, 'strings', 'mknod', 'V3', 'V2', 0.9964958388085852, 0.7640790939331055]
['BV', 13, 'CV', 117, 'cp', 'pinky', 'V2', 'V3', 0.968, 0.17504620552062988]
['BV', 46, 'CV', 226, 'cluster', 'logname', 'V3', 'V0', 0.9872, 0.1533520221710205]
['BV', 62, 'CV', 269, 'diff', 'du', 'V0', 'V1', 0.9493949394939494, 0.18072199821472168]
['CV', 36, 'UV', 0, 'chroot', 'locate', 'V2', 'V2', 0.8894736842105263, 0.11266136169433594]
['BV', 72, 'CV', 311, 'perl', 'cksum', 'V1', 'V1', 0.999113867966327, 1.413834810256958]
['UV', 41, 'CV', 74, 'cmp', 'pathchk', 'V3', 'V2', 0.9459459459459459, 0.05102396011352539]
['CV', 75, 'UV', 9, 'tr', 'readelf', 'V2', 'V2', 0.9613045881702598, 0.34053802490234375]
['CV', 314, 'UV', 53, 'tty', 'readelf', 'V1', 'V1', 0.980225988700565, 0.17393136024475098]
['CV', 133, 'UV', 87, 'cut', 'objdump', 'V3', 'V0', 0.9780186231109754, 1.66996431350708]
['CV', 224, 'BV', 8, 'cksum', 'cluster', 'V0', 'V2', 0.9649960222752586, 0.16956067085266113]
['CV', 321, 'BV', 28, 'hostid', 'openssl', 'V1', 'V1', 0.9929024841305543, 2.0720081329345703]
['CV', 225, 'BV', 70, 'printf', 'ssh', 'V0', 'V0', 0.9899394796824649, 2.136793851852417]
['UV', 20, 'CV', 32, 'size', 'paste', 'V2', 'V2', 0.9965746092913723, 0.7504980564117432]
['CV', 214, 'BV', 54, 'ls', 'lua', 'V0', 'V3', 0.96512641673932, 1.3060014247894287]
['BV', 41, 'UV', 39, 'libvlccore.so', 'find', 'V1', 'V3', 0.9878876474887752, 11.482510089874268]
['CV', 236, 'BV', 33, 'unexpand', 'openssl', 'V0', 'V0', 0.9923982473737001, 2.5603904724121094]
['UV', 82, 'CV', 100, 'gprof', 'join', 'V0', 'V3', 0.9960753532182104, 1.4088175296783447]
['UV', 30, 'CV', 177, 'ld', 'test', 'V3', 'V0', 0.9974311402882832, 0.9398210048675537]
['CV', 9, 'BV', 77, 'users', 'perl', 'V2', 'V2', 0.9895422963971062, 2.3988144397735596]
['CV', 279, 'UV', 63, 'pwd', 'elfedit', 'V1', 'V1', 0.966903073286052, 0.0630955696105957]
['BV', 25, 'CV', 328, 'git', 'uname', 'V3', 'V1', 0.999453738477296, 3.0607430934906006]
['UV', 82, 'BV', 6, 'gprof', 'libvlc.so', 'V0', 'V0', 0.9898973439791429, 5.031689643859863]
['UV', 30, 'BV', 66, 'ld', 'lua', 'V3', 'V1', 0.9833918875758544, 12.072004079818726]
['CV', 105, 'UV', 19, 'pwd', 'elfedit', 'V3', 'V2', 0.9774011299435028, 0.08365464210510254]
['CV', 104, 'UV', 76, 'mkfifo', 'as', 'V3', 'V0', 0.9831531658009266, 1.4183766841888428]
['BV', 66, 'CV', 150, 'lua', 'mv', 'V1', 'V3', 0.9777904328018223, 1.9789252281188965]
['CV', 257, 'BV', 64, 'tac', 'openssl', 'V0', 'V2', 0.9894796701734433, 3.6697540283203125]
['CV', 192, 'UV', 8, 'pwd', 'strip', 'V0', 'V2', 0.9812687754020145, 0.8675975799560547]
['BV', 2, 'UV', 8, 'cmp', 'strip', 'V1', 'V2', 0.9761286974571873, 1.4179890155792236]
['UV', 2, 'CV', 132, 'find', 'cp', 'V2', 'V3', 0.9582963620230701, 0.9001379013061523]
['BV', 50, 'CV', 142, 'sort', 'nohup', 'V0', 'V3', 0.9456869009584664, 0.08499717712402344]
['CV', 97, 'BV', 2, 'ptx', 'cmp', 'V3', 'V1', 0.9443708609271523, 0.11281561851501465]
['BV', 28, 'CV', 47, 'openssl', 'od', 'V1', 'V2', 0.9989121297532513, 4.886784791946411]
['UV', 26, 'CV', 259, 'ranlib', 'mknod', 'V3', 'V0', 0.995856639734825, 0.6677436828613281]
['CV', 154, 'BV', 24, 'uname', 'git', 'V3', 'V0', 0.9913456337520283, 3.139070749282837]
['CV', 248, 'UV', 64, 'pathchk', 'size', 'V0', 'V1', 0.9816082121471343, 0.6589925289154053]
['CV', 217, 'UV', 11, 'chmod', 'ranlib', 'V0', 'V2', 0.9720503094430026, 1.118690013885498]
['UV', 54, 'CV', 82, 'as', 'sort', 'V1', 'V2', 0.9949012109623965, 3.621739387512207]
['CV', 319, 'UV', 0, 'readlink', 'locate', 'V1', 'V2', 0.8970588235294118, 0.0853719711303711]
['CV', 0, 'BV', 5, 'touch', 'libvlccore.so', 'V2', 'V0', 0.990041928721174, 2.095493793487549]
['CV', 88, 'UV', 3, 'stat', 'diff3', 'V3', 'V2', 0.9372197309417041, 0.16561627388000488]
['BV', 31, 'CV', 245, 'codeblocks', '[', 'V0', 'V0', 0.9993397160779135, 2.4997060298919678]
['CV', 86, 'BV', 48, 'ln', 'gvmap', 'V2', 'V3', 0.9533980582524272, 0.39859747886657715]
['BV', 27, 'CV', 200, 'libSDL2-2.0.so', 'date', 'V1', 'V0', 0.9972489683631361, 1.4611809253692627]
['UV', 33, 'CV', 15, 'ar', 'uptime', 'V3', 'V2', 0.9959341329538524, 1.0524561405181885]
['BV', 15, 'CV', 91, 'libvlccore.so', 'basename', 'V3', 'V3', 0.9988542621448213, 1.794525146484375]
['UV', 63, 'CV', 173, 'elfedit', 'ln', 'V1', 'V3', 0.9538834951456311, 0.17274141311645508]
['CV', 257, 'UV', 43, 'tac', 'sdiff', 'V0', 'V3', 0.9148936170212766, 0.16299962997436523]
['BV', 15, 'CV', 55, 'libvlccore.so', 'nohup', 'V3', 'V2', 0.9990817263544536, 1.7077622413635254]
['BV', 34, 'CV', 208, 'svn', 'echo', 'V0', 'V0', 0.997946611909651, 0.2709996700286865]
['CV', 131, 'BV', 70, 'true', 'ssh', 'V3', 'V0', 0.9872921242547851, 2.2792348861694336]
['UV', 40, 'CV', 195, 'diff3', 'chgrp', 'V3', 'V0', 0.9250720461095101, 0.10698127746582031]
['UV', 24, 'CV', 245, 'readelf', '[', 'V3', 'V0', 0.9924727135867519, 0.3859257698059082]
['UV', 48, 'CV', 199, 'locate', 'expand', 'V1', 'V0', 0.9845132743362832, 0.09378552436828613]
['BV', 56, 'CV', 199, 'ssh', 'expand', 'V3', 'V0', 0.998766954377312, 0.8683483600616455]
['CV', 168, 'BV', 73, 'sleep', 'geany', 'V3', 'V0', 0.9912968733211561, 4.874505043029785]
['BV', 40, 'CV', 186, 'lua', 'stty', 'V2', 'V0', 0.9965881951552371, 0.5345215797424316]
['CV', 109, 'BV', 83, 'kill', 'git', 'V3', 'V2', 0.9919221749326848, 5.061593294143677]
['BV', 45, 'UV', 22, 'svn', 'nm', 'V3', 'V3', 0.9618966977138018, 10.260974168777466]
['UV', 1, 'CV', 130, 'xargs', 'chmod', 'V2', 'V3', 0.9160545645330536, 0.18059968948364258]
['BV', 13, 'CV', 75, 'cp', 'tr', 'V2', 'V2', 0.9644351464435147, 0.15183615684509277]
['CV', 141, 'BV', 1, 'false', 'libSDL2-2.0.so', 'V3', 'V3', 0.9855252742282031, 1.9937744140625]
['CV', 255, 'BV', 76, 'sleep', 'diff', 'V0', 'V2', 0.9161904761904762, 0.1250903606414795]
