['BV', 32, 'CV', 195, 'perl', 'chgrp', 'V0', 'V0', 0.9971881150998219, 2.246656656265259]
['BV', 59, 'CV', 247, 'make', 'shred', 'V1', 'V0', 0.9905882352941177, 0.44921422004699707]
['CV', 238, 'UV', 81, 'md5sum', 'ld', 'V0', 'V0', 0.9884181651935385, 1.2003402709960938]
['BV', 13, 'CV', 132, 'cp', 'cp', 'V2', 'V3', 0.8886705959397512, 0.4271273612976074]
['CV', 294, 'UV', 18, 'sync', 'ar', 'V1', 'V2', 0.9840131174420987, 0.6292281150817871]
['BV', 67, 'CV', 72, 'cluster', 'id', 'V0', 'V2', 0.9785831960461285, 0.2100224494934082]
['CV', 68, 'UV', 33, 'cat', 'ar', 'V2', 'V3', 0.9684945164506481, 1.4521548748016357]
['CV', 37, 'UV', 76, 'seq', 'as', 'V2', 'V0', 0.9842740803145184, 1.3742568492889404]
['UV', 48, 'CV', 176, 'locate', 'unlink', 'V1', 'V0', 0.9886492622020431, 0.08032345771789551]
['BV', 22, 'CV', 281, 'cmp', 'tee', 'V3', 'V1', 0.963963963963964, 0.04257941246032715]
['CV', 33, 'UV', 30, 'sync', 'ld', 'V2', 'V3', 0.9857387335995437, 1.1117668151855469]
['BV', 15, 'CV', 299, 'libvlccore.so', 'split', 'V3', 'V1', 0.9988496491429886, 1.5536937713623047]
['CV', 118, 'BV', 45, 'sha1sum', 'svn', 'V3', 'V3', 0.9848589125946318, 0.8367044925689697]
['CV', 263, 'BV', 24, 'unlink', 'git', 'V1', 'V0', 0.9929883945841392, 1.7574050426483154]
['CV', 12, 'UV', 41, 'stty', 'cmp', 'V2', 'V3', 0.9032815198618307, 0.0766150951385498]
['UV', 20, 'CV', 344, 'size', 'tac', 'V2', 'V1', 0.992371009837382, 1.7073259353637695]
['BV', 54, 'CV', 323, 'lua', 'unexpand', 'V3', 'V1', 0.9967627063774684, 0.43064379692077637]
['CV', 210, 'UV', 47, 'chroot', 'sdiff', 'V0', 'V1', 0.8598484848484849, 0.0521550178527832]
['CV', 28, 'BV', 35, 'chown', 'libvlccore.so', 'V2', 'V2', 0.9891757808095614, 3.686922311782837]
['CV', 299, 'BV', 78, 'split', 'make', 'V1', 'V2', 0.9645933014354067, 0.3806591033935547]
['BV', 74, 'CV', 198, 'git', 'factor', 'V1', 'V0', 0.9995847391642876, 2.200713634490967]
['CV', 297, 'UV', 5, 'chroot', 'diff', 'V1', 'V2', 0.9120458891013384, 0.1197044849395752]
['BV', 40, 'CV', 30, 'lua', 'pinky', 'V2', 'V2', 0.9946254618743702, 0.6270546913146973]
['BV', 45, 'CV', 317, 'svn', 'yes', 'V3', 'V1', 0.9970866715222141, 0.3728303909301758]
['UV', 16, 'CV', 231, 'gprof', 'who', 'V2', 'V0', 0.9976293954958514, 0.905022144317627]
['UV', 30, 'CV', 258, 'ld', 'rmdir', 'V3', 'V0', 0.9979908151549942, 0.73537278175354]
['CV', 339, 'UV', 9, 'rm', 'readelf', 'V1', 'V2', 0.9707317073170731, 0.41565513610839844]
['BV', 62, 'CV', 30, 'diff', 'pinky', 'V0', 'V2', 0.9648173207036536, 0.10772180557250977]
['CV', 150, 'UV', 84, 'mv', 'ar', 'V3', 'V0', 0.9621007038440714, 3.6178271770477295]
['CV', 194, 'BV', 77, 'tee', 'perl', 'V0', 'V2', 0.9913687693303603, 1.7128381729125977]
['UV', 48, 'CV', 160, 'locate', 'shred', 'V1', 'V3', 0.9371381306865177, 0.2708122730255127]
['CV', 79, 'BV', 50, 'fold', 'sort', 'V2', 'V0', 0.8938053097345133, 0.06667804718017578]
['CV', 202, 'BV', 22, 'chown', 'cmp', 'V0', 'V3', 0.8940170940170941, 0.0773613452911377]
['CV', 249, 'UV', 51, 'tr', 'nm', 'V0', 'V1', 0.9750623441396509, 0.897179365158081]
['BV', 4, 'CV', 324, 'geany', 'mv', 'V3', 'V1', 0.9988499137435307, 10.108672857284546]
['UV', 20, 'CV', 64, 'size', 'md5sum', 'V2', 'V2', 0.99617102744097, 0.8866255283355713]
['BV', 18, 'CV', 23, 'sort', 'wc', 'V3', 'V2', 0.9769094138543517, 0.18553638458251953]
['UV', 53, 'CV', 105, 'readelf', 'pwd', 'V1', 'V3', 0.9833440102498399, 0.30905628204345703]
['UV', 78, 'CV', 338, 'c++filt', 'nl', 'V0', 'V1', 0.9945031712473573, 1.5672597885131836]
['CV', 2, 'BV', 41, 'unlink', 'libvlccore.so', 'V2', 'V1', 0.9914684591520165, 1.3808438777923584]
['CV', 213, 'BV', 46, 'whoami', 'cluster', 'V0', 'V3', 0.9537110933758979, 0.15816164016723633]
['CV', 283, 'UV', 56, 'kill', 'c++filt', 'V1', 'V1', 0.9801038062283737, 0.7125816345214844]
['CV', 8, 'UV', 86, 'du', 'size', 'V2', 'V0', 0.9687123947051745, 2.6452834606170654]
['BV', 83, 'CV', 78, 'git', 'rm', 'V2', 'V2', 0.9986193208784571, 6.627307653427124]
