['BV', 6, 'CV', 2, 'libvlc.so', 'unlink', 'V0', 'V2', 0.9913419913419913, 0.258709192276001]
['UV', 22, 'CV', 131, 'nm', 'true', 'V3', 'V3', 0.9961538461538462, 0.8062412738800049]
['CV', 183, 'BV', 64, 'users', 'openssl', 'V0', 'V2', 0.9958177744585511, 1.5274553298950195]
['CV', 9, 'UV', 23, 'users', 'strip', 'V2', 'V3', 0.9800214056368177, 1.087937355041504]
['CV', 72, 'BV', 80, 'id', 'cluster', 'V2', 'V1', 0.964259121370067, 0.2544527053833008]
['CV', 61, 'UV', 9, 'ginstall', 'readelf', 'V2', 'V2', 0.9645131938125568, 0.8157923221588135]
['UV', 8, 'CV', 138, 'strip', 'printf', 'V2', 'V3', 0.9944922547332186, 1.413799524307251]
['BV', 26, 'CV', 190, 'geany', 'dd', 'V2', 'V0', 0.9991067041850908, 5.715425968170166]
['CV', 36, 'BV', 2, 'chroot', 'cmp', 'V2', 'V1', 0.9047619047619048, 0.0639960765838623]
['CV', 53, 'BV', 39, 'tty', 'svn', 'V2', 'V1', 0.9812646370023419, 0.4213423728942871]
['CV', 263, 'BV', 0, 'unlink', 'bash', 'V1', 'V2', 0.9875840662183135, 1.1064910888671875]
['BV', 28, 'CV', 41, 'openssl', 'nice', 'V1', 'V2', 0.9990035870864886, 2.796421766281128]
['CV', 222, 'BV', 59, 'df', 'make', 'V0', 'V1', 0.9596622889305816, 0.47661352157592773]
['BV', 43, 'UV', 32, 'lua', 'addr2line', 'V0', 'V3', 0.9624832514515409, 7.81732964515686]
['CV', 40, 'BV', 74, 'ls', 'git', 'V2', 'V1', 0.9836928998278133, 8.43281888961792]
['CV', 258, 'UV', 71, 'rmdir', 'xargs', 'V0', 'V0', 0.847887323943662, 0.06140947341918945]
['BV', 74, 'CV', 235, 'git', 'ginstall', 'V1', 'V0', 0.9984681372549019, 6.740814924240112]
['BV', 74, 'CV', 344, 'git', 'tac', 'V1', 'V1', 0.9988782950084127, 6.666541814804077]
