['CO', 351, 'UO', 74, 'paste', 'ld', 'O0', 'O0', 0.99170288423548, 2.9356038570404053]
['CO', 267, 'UO', 11, 'tsort', 'ld', 'O2', 'O1', 0.9836202109938923, 1.448556900024414]
['UO', 40, 'CO', 305, 'objdump', 'uniq', 'O2', 'O2', 0.9978308026030369, 1.6553645133972168]
['CO', 2, 'UO', 32, 'stat', 'strings', 'O3', 'O2', 0.9695723684210527, 1.953341007232666]
['BO', 13, 'CO', 200, 'ruby', 'fold', 'O1', 'O1', 0.9982949120174601, 5.341575860977173]
['UO', 8, 'CO', 369, 'c++filt', 'od', 'O1', 'O0', 0.989839463523674, 1.9772026538848877]
['CO', 161, 'BO', 10, 'od', 'openssl', 'O1', 'O3', 0.989961811238407, 5.132535934448242]
['UO', 52, 'CO', 43, 'ld', 'chroot', 'O3', 'O3', 0.9972102106290975, 1.601010799407959]
['CO', 180, 'UO', 59, 'md5sum', 'locate', 'O1', 'O3', 0.9613970588235294, 0.23869085311889648]
['BO', 71, 'CO', 290, 'libSDL2-2.0.so.0.16.0', 'shuf', 'O0', 'O2', 0.9960058860626445, 3.322000741958618]
['CO', 109, 'BO', 24, 'basename', 'cluster', 'O1', 'O3', 0.956989247311828, 0.25313901901245117]
['BO', 59, 'CO', 389, 'libgeany.so.0.0.0', 'env', 'O3', 'O0', 0.9991152073732719, 6.82311749458313]
['CO', 87, 'UO', 21, 'id', 'sdiff', 'O3', 'O1', 0.9001468428781204, 0.1051933765411377]
['UO', 5, 'CO', 89, 'readelf', 'pathchk', 'O1', 'O3', 0.9907964601769912, 0.5594456195831299]
['BO', 34, 'CO', 206, 'cp', 'mknod', 'O2', 'O1', 0.9618090452261306, 0.1560351848602295]
['BO', 0, 'CO', 47, 'codeblocks', 'numfmt', 'O1', 'O3', 0.9976521470497374, 4.768068790435791]
['UO', 17, 'CO', 119, 'objdump', 'join', 'O1', 'O1', 0.9958235447663796, 1.99066162109375]
['CO', 37, 'BO', 45, 'truncate', 'diff', 'O3', 'O2', 0.9185119574844995, 0.19941020011901855]
['UO', 7, 'CO', 393, 'ranlib', 'cat', 'O1', 'O0', 0.9914146341463415, 1.2863633632659912]
['BO', 70, 'CO', 364, 'diff', 'sha256sum', 'O3', 'O0', 0.9696969696969697, 0.2765347957611084]
