['BV', 18, 'UV', 66, 'sort', 'diff3', 'V3', 'V0', 0.982414068745004, 0.25435805320739746]
['UV', 36, 'CV', 155, 'objdump', 'cat', 'V3', 'V3', 0.9978296256104178, 1.536818027496338]
['UV', 42, 'CV', 206, 'diff', 'paste', 'V3', 'V0', 0.9849906191369606, 0.10676240921020508]
['UV', 66, 'CV', 252, 'diff3', 'rm', 'V0', 'V0', 0.9171597633136095, 0.10064411163330078]
['CV', 18, 'BV', 39, 'pwd', 'svn', 'V2', 'V1', 0.9797887000459348, 0.49858975410461426]
['UV', 23, 'BV', 39, 'strip', 'svn', 'V3', 'V1', 0.9885683179096353, 7.885385751724243]
['BV', 82, 'CV', 215, 'gvmap', 'nice', 'V1', 'V0', 0.9851079672375279, 0.17517399787902832]
['CV', 270, 'UV', 34, 'users', 'elfedit', 'V1', 'V3', 0.9642058165548099, 0.06224465370178223]
['CV', 111, 'UV', 38, 'factor', 'xargs', 'V3', 'V3', 0.9646017699115044, 0.20716047286987305]
['BV', 52, 'CV', 296, 'libSDL2-2.0.so', 'sum', 'V2', 'V1', 0.9968823070927514, 1.1796958446502686]
['CV', 299, 'BV', 27, 'split', 'libSDL2-2.0.so', 'V1', 'V1', 0.9828444936358606, 1.5334806442260742]
['CV', 74, 'UV', 65, 'pathchk', 'objdump', 'V2', 'V1', 0.9837886520564395, 1.1675162315368652]
['BV', 0, 'CV', 107, 'bash', 'tee', 'V2', 'V3', 0.9971509971509972, 2.220479965209961]
['CV', 134, 'BV', 2, 'od', 'cmp', 'V3', 'V1', 0.9393939393939394, 0.1077260971069336]
['UV', 30, 'CV', 41, 'ld', 'nice', 'V3', 'V2', 0.9985787379192723, 1.0444810390472412]
['BV', 0, 'CV', 126, 'bash', 'whoami', 'V2', 'V3', 0.9987703658161697, 1.6880922317504883]
['UV', 72, 'BV', 53, 'find', 'ssh', 'V0', 'V2', 0.9653747506412084, 11.291015625]
['BV', 18, 'UV', 53, 'sort', 'readelf', 'V3', 'V1', 0.9581978634463539, 0.8841595649719238]
['UV', 37, 'CV', 140, 'locate', 'tty', 'V3', 'V3', 0.988560533841754, 0.17940950393676758]
['UV', 1, 'BV', 39, 'xargs', 'svn', 'V2', 'V1', 0.983746444534742, 1.0748250484466553]
['BV', 52, 'CV', 277, 'libSDL2-2.0.so', 'dd', 'V2', 'V1', 0.9946305292763999, 1.8202295303344727]
['CV', 273, 'BV', 10, 'stty', 'gvmap', 'V1', 'V2', 0.9631988676574664, 0.25417494773864746]
['UV', 67, 'CV', 314, 'cmp', 'tty', 'V0', 'V1', 0.9568345323741008, 0.03501105308532715]
['BV', 57, 'CV', 183, 'svn', 'users', 'V2', 'V0', 0.9943262411347518, 0.3641972541809082]
['UV', 59, 'CV', 5, 'ld', 'mkdir', 'V1', 'V2', 0.9971743430347556, 1.576286792755127]
['BV', 33, 'CV', 87, 'openssl', 'touch', 'V0', 'V3', 0.9985451522394264, 5.851086139678955]
['CV', 100, 'BV', 20, 'join', 'sort', 'V3', 'V1', 0.9107358262967431, 0.1402575969696045]
['CV', 236, 'UV', 2, 'unexpand', 'find', 'V0', 'V2', 0.9476707083599234, 0.20152878761291504]
['UV', 67, 'BV', 18, 'cmp', 'sort', 'V0', 'V3', 0.9150779896013865, 0.21078705787658691]
