['BV', 20, 'UV', 47, 'sort', 'sdiff', 'V1', 'V1', 0.944578313253012, 0.14299321174621582]
['CV', 217, 'BV', 16, 'chmod', 'libvlc.so', 'V0', 'V3', 0.9868173258003766, 0.5758688449859619]
['BV', 34, 'CV', 32, 'svn', 'paste', 'V0', 'V2', 0.9920556107249255, 0.3741605281829834]
['CV', 114, 'UV', 72, 'expr', 'find', 'V3', 'V0', 0.884016973125884, 0.31395840644836426]
['CV', 261, 'BV', 7, 'touch', 'libSDL2-2.0.so', 'V1', 'V0', 0.976449598572703, 1.4494647979736328]
['BV', 33, 'CV', 193, 'openssl', 'pr', 'V0', 'V0', 0.9992667469753312, 3.9883906841278076]
['BV', 66, 'CV', 105, 'lua', 'pwd', 'V1', 'V3', 0.9900990099009901, 0.5996863842010498]
['CV', 294, 'UV', 15, 'sync', 'ld', 'V1', 'V2', 0.989010989010989, 0.8473594188690186]
['CV', 127, 'BV', 29, 'ls', 'perl', 'V3', 'V3', 0.9761419403548509, 8.597471475601196]
['UV', 9, 'CV', 338, 'readelf', 'nl', 'V2', 'V1', 0.9783783783783784, 0.57940673828125]
['UV', 45, 'CV', 320, 'cmp', 'head', 'V1', 'V1', 0.9232323232323232, 0.05320143699645996]
['BV', 14, 'UV', 76, 'openssl', 'as', 'V3', 'V0', 0.9629312802965497, 41.67821431159973]
['UV', 4, 'BV', 18, 'cmp', 'sort', 'V2', 'V3', 0.9238095238095239, 0.21546268463134766]
['UV', 83, 'CV', 55, 'addr2line', 'nohup', 'V0', 'V2', 0.9960106382978723, 0.7690591812133789]
['CV', 225, 'UV', 1, 'printf', 'xargs', 'V0', 'V2', 0.8930635838150289, 0.0941619873046875]
['UV', 49, 'CV', 325, 'xargs', 'md5sum', 'V1', 'V1', 0.946058091286307, 0.05244040489196777]
['CV', 124, 'BV', 13, 'seq', 'cp', 'V3', 'V2', 0.8985801217038539, 0.1736593246459961]
['BV', 26, 'CV', 228, 'geany', 'false', 'V2', 'V0', 0.9995496712600198, 2.3675334453582764]
['UV', 30, 'BV', 5, 'ld', 'libvlccore.so', 'V3', 'V0', 0.9828120597351366, 36.30310273170471]
['CV', 284, 'UV', 62, 'wc', 'ar', 'V1', 'V1', 0.9759615384615384, 0.8593912124633789]
['CV', 60, 'BV', 39, 'hostid', 'svn', 'V2', 'V1', 0.9840823970037453, 0.4144299030303955]
['CV', 279, 'UV', 85, 'pwd', 'elfedit', 'V1', 'V0', 0.9671361502347418, 0.06330418586730957]
['CV', 8, 'BV', 62, 'du', 'diff', 'V2', 'V0', 0.9268929503916449, 0.256622314453125]
['UV', 53, 'BV', 41, 'readelf', 'libvlccore.so', 'V1', 'V1', 0.9513574660633484, 7.3141255378723145]
['BV', 33, 'UV', 63, 'openssl', 'elfedit', 'V0', 'V1', 0.9982149419856146, 3.6531646251678467]
['CV', 237, 'UV', 0, 'mv', 'locate', 'V0', 'V2', 0.9226305609284333, 0.22771453857421875]
['BV', 75, 'CV', 159, 'cmp', 'id', 'V2', 'V3', 0.928082191780822, 0.07654905319213867]
['UV', 8, 'CV', 15, 'strip', 'uptime', 'V2', 'V2', 0.9954688044614849, 1.1532931327819824]
['BV', 20, 'UV', 58, 'sort', 'objcopy', 'V1', 'V1', 0.9707363121460038, 2.132800579071045]
['BV', 77, 'CV', 215, 'perl', 'nice', 'V2', 'V0', 0.9989920806335493, 1.48128342628479]
['CV', 245, 'UV', 25, '[', 'as', 'V0', 'V3', 0.983777206975801, 1.2320728302001953]
['CV', 142, 'UV', 40, 'nohup', 'diff3', 'V3', 'V3', 0.8908554572271387, 0.09482479095458984]
['BV', 52, 'CV', 110, 'libSDL2-2.0.so', 'wc', 'V2', 'V3', 0.9951623169955442, 2.0590999126434326]
['BV', 51, 'CV', 330, 'cp', 'csplit', 'V0', 'V1', 0.9019607843137255, 0.2106785774230957]
['CV', 162, 'BV', 40, 'tr', 'lua', 'V3', 'V2', 0.9518945634266887, 0.7015254497528076]
['BV', 53, 'CV', 187, 'ssh', 'join', 'V2', 'V0', 0.9984850780184821, 2.2270052433013916]
['UV', 54, 'CV', 188, 'as', 'dirname', 'V1', 'V0', 0.9980897803247374, 0.8249843120574951]
['CV', 329, 'BV', 45, 'cat', 'svn', 'V1', 'V3', 0.9848211058908565, 0.5276069641113281]
