['BV', 71, 'CV', 152, 'ruby', 'env', 'V1', 'V3', 0.9928571428571429, 0.014145851135253906]
['BV', 51, 'UV', 72, 'cp', 'find', 'V0', 'V0', 0.886892880904857, 0.3877129554748535]
['BV', 14, 'CV', 100, 'openssl', 'join', 'V3', 'V3', 0.9978777026130786, 2.7083661556243896]
['UV', 8, 'CV', 128, 'strip', 'nice', 'V2', 'V3', 0.9954601012746639, 1.0621249675750732]
['CV', 297, 'BV', 46, 'chroot', 'cluster', 'V1', 'V3', 0.949166004765687, 0.16272640228271484]
['UV', 14, 'CV', 315, 'objcopy', 'false', 'V2', 'V1', 0.9978621058257616, 0.588533878326416]
['CV', 265, 'UV', 19, 'basename', 'elfedit', 'V1', 'V2', 0.9748110831234257, 0.048526763916015625]
['CV', 265, 'UV', 29, 'basename', 'objcopy', 'V1', 'V3', 0.9848238482384823, 0.7708518505096436]
['BV', 3, 'CV', 140, 'diff', 'tty', 'V1', 'V3', 0.972, 0.13814759254455566]
['CV', 308, 'UV', 71, 'od', 'xargs', 'V1', 'V0', 0.8846153846153846, 0.05396842956542969]
['BV', 27, 'CV', 156, 'libSDL2-2.0.so', 'csplit', 'V1', 'V3', 0.9932750504371217, 2.1717283725738525]
['CV', 206, 'UV', 65, 'paste', 'objdump', 'V0', 'V1', 0.9872919818456883, 0.9520838260650635]
['BV', 47, 'CV', 224, 'dot', 'cksum', 'V3', 'V0', 0.9903381642512077, 0.018535137176513672]
['UV', 54, 'CV', 169, 'as', 'sort', 'V1', 'V3', 0.9930572774609472, 4.714514493942261]
['CV', 38, 'UV', 15, 'split', 'ld', 'V2', 'V2', 0.9729767377072016, 2.214407444000244]
['BV', 10, 'CV', 192, 'gvmap', 'pwd', 'V2', 'V0', 0.9882955376737381, 0.2095012664794922]
['UV', 42, 'CV', 218, 'diff', 'true', 'V3', 'V0', 0.9903660886319846, 0.08786344528198242]
['CV', 173, 'BV', 68, 'ln', 'dot', 'V3', 'V0', 0.9968847352024922, 0.06057381629943848]
['CV', 221, 'BV', 31, 'od', 'codeblocks', 'V0', 'V0', 0.9952631578947368, 4.249873161315918]
['CV', 93, 'UV', 7, 'fmt', 'nm', 'V3', 'V2', 0.9677085489546677, 1.056175947189331]
['CV', 77, 'BV', 7, 'nl', 'libSDL2-2.0.so', 'V2', 'V0', 0.9678945589726259, 2.846752405166626]
['CV', 37, 'BV', 13, 'seq', 'cp', 'V2', 'V2', 0.8729817007534983, 0.1368541717529297]
['CV', 190, 'BV', 3, 'dd', 'diff', 'V0', 'V1', 0.9256505576208178, 0.20198297500610352]
['CV', 272, 'UV', 64, 'printenv', 'size', 'V1', 'V1', 0.9832653936923407, 0.5877077579498291]
['CV', 337, 'BV', 66, 'comm', 'lua', 'V1', 'V1', 0.9706529713866471, 0.43415164947509766]
['CV', 41, 'BV', 16, 'nice', 'libvlc.so', 'V2', 'V3', 0.9873908826382153, 0.43848466873168945]
['BV', 30, 'UV', 22, 'bash', 'nm', 'V0', 'V3', 0.9876923076923076, 27.073793172836304]
['UV', 69, 'CV', 19, 'sdiff', 'pr', 'V0', 'V2', 0.921832884097035, 0.1143500804901123]
['UV', 85, 'CV', 16, 'elfedit', 'dd', 'V0', 'V2', 0.978125, 0.11782193183898926]
['UV', 62, 'BV', 39, 'ar', 'svn', 'V1', 'V1', 0.9896434383784584, 7.08760666847229]
['BV', 49, 'CV', 245, 'make', '[', 'V3', 'V0', 0.9890360895386021, 0.3266408443450928]
['CV', 315, 'UV', 35, 'false', 'size', 'V1', 'V3', 0.981850376272687, 0.5667867660522461]
['UV', 8, 'BV', 21, 'strip', 'cp', 'V2', 'V1', 0.9932591843613077, 1.9195218086242676]
['BV', 24, 'UV', 39, 'git', 'find', 'V0', 'V3', 0.9956606639184205, 21.91055727005005]
['CV', 264, 'BV', 27, 'test', 'libSDL2-2.0.so', 'V1', 'V1', 0.9841754580788451, 1.3844387531280518]
['CV', 320, 'BV', 35, 'head', 'libvlccore.so', 'V1', 'V2', 0.9933094935978775, 2.055924892425537]
['UV', 60, 'CV', 301, 'gprof', 'ls', 'V1', 'V1', 0.9959618208516887, 2.1821815967559814]
['UV', 53, 'CV', 309, 'readelf', 'df', 'V1', 'V1', 0.9833119383825417, 0.3153398036956787]
['UV', 8, 'BV', 5, 'strip', 'libvlccore.so', 'V2', 'V0', 0.977431906614786, 29.614139556884766]
['UV', 39, 'CV', 339, 'find', 'rm', 'V3', 'V1', 0.9879569892473118, 0.5484867095947266]
['UV', 76, 'CV', 130, 'as', 'chmod', 'V0', 'V3', 0.9953608950743621, 2.2758285999298096]
['CV', 200, 'UV', 77, 'date', 'ranlib', 'V0', 'V0', 0.9771831570213648, 1.0736596584320068]
['UV', 85, 'CV', 306, 'elfedit', 'cp', 'V0', 'V1', 0.9626972740315638, 0.12821531295776367]
['CV', 289, 'UV', 19, 'chown', 'elfedit', 'V1', 'V2', 0.9825783972125436, 0.10776162147521973]
['BV', 26, 'CV', 310, 'geany', 'tsort', 'V2', 'V1', 0.9994607226316735, 3.2143852710723877]
['CV', 91, 'UV', 83, 'basename', 'addr2line', 'V3', 'V0', 0.9801236749116607, 0.9755594730377197]
['BV', 25, 'CV', 149, 'git', 'unexpand', 'V3', 'V3', 0.99884495175975, 5.912392854690552]
['CV', 150, 'BV', 48, 'mv', 'gvmap', 'V3', 'V3', 0.9574468085106383, 0.9899048805236816]
['CV', 56, 'BV', 68, 'yes', 'dot', 'V2', 'V0', 1.0, 0.02191329002380371]
['UV', 8, 'CV', 174, 'strip', 'touch', 'V2', 'V0', 0.9968514955396187, 1.0685153007507324]
['BV', 16, 'CV', 338, 'libvlc.so', 'nl', 'V3', 'V1', 0.9923664122137404, 0.8064868450164795]
['BV', 51, 'UV', 35, 'cp', 'size', 'V0', 'V3', 0.9619441571871769, 1.739058494567871]
['UV', 61, 'CV', 284, 'addr2line', 'wc', 'V1', 'V1', 0.9978759558198811, 0.7742645740509033]
['UV', 52, 'CV', 75, 'strip', 'tr', 'V1', 'V2', 0.9961208986584774, 1.252256155014038]
['CV', 86, 'UV', 64, 'ln', 'size', 'V2', 'V1', 0.9676030346524502, 1.3447747230529785]
['CV', 243, 'UV', 15, 'csplit', 'ld', 'V0', 'V2', 0.9641888225718936, 3.1457748413085938]
['UV', 40, 'CV', 325, 'diff3', 'md5sum', 'V3', 'V1', 0.9625850340136054, 0.0663747787475586]
['CV', 145, 'UV', 43, 'readlink', 'sdiff', 'V3', 'V3', 0.9206798866855525, 0.1141054630279541]
['CV', 207, 'UV', 78, 'sync', 'c++filt', 'V0', 'V0', 0.9876203576341128, 0.5552408695220947]
['UV', 59, 'CV', 41, 'ld', 'nice', 'V1', 'V2', 0.9985663082437276, 1.0536577701568604]
['BV', 23, 'CV', 114, 'diff', 'expr', 'V3', 'V3', 0.9606299212598425, 0.24568462371826172]
['CV', 167, 'BV', 5, 'uniq', 'libvlccore.so', 'V3', 'V0', 0.9880689923485929, 2.456524610519409]
['BV', 39, 'CV', 280, 'svn', 'pr', 'V1', 'V1', 0.9911268855368234, 0.6148273944854736]
['UV', 5, 'CV', 33, 'diff', 'sync', 'V2', 'V2', 0.9870490286771508, 0.12823867797851562]
['UV', 65, 'CV', 314, 'objdump', 'tty', 'V1', 'V1', 0.9990904956798545, 0.7488834857940674]
['CV', 334, 'UV', 79, 'shred', 'strings', 'V1', 'V0', 0.9760087241003271, 1.2607848644256592]
['CV', 106, 'BV', 51, 'pr', 'cp', 'V3', 'V0', 0.9217877094972067, 0.16399669647216797]
['CV', 175, 'UV', 74, 'stat', 'strip', 'V0', 'V0', 0.9867324374893689, 1.076220989227295]
['CV', 160, 'UV', 1, 'shred', 'xargs', 'V3', 'V2', 0.8898128898128899, 0.1850743293762207]
['UV', 49, 'BV', 83, 'xargs', 'git', 'V1', 'V2', 0.9914200285999046, 5.678193807601929]
['BV', 64, 'CV', 315, 'openssl', 'false', 'V2', 'V1', 0.9990982867448152, 0.9381935596466064]
