['CO', 106, 'UO', 82, 'stat', 'cmp', 'O1', 'O0', 0.963855421686747, 0.16380524635314941]
['UO', 41, 'BO', 70, 'locate', 'diff', 'O2', 'O3', 0.9788888888888889, 0.7600536346435547]
['BO', 44, 'CO', 29, 'cmp', 'nproc', 'O2', 'O3', 0.9283018867924528, 0.0660405158996582]
['CO', 236, 'BO', 75, 'factor', 'gvmap', 'O2', 'O1', 0.9449071108263933, 0.41077637672424316]
['CO', 266, 'UO', 56, 'df', 'elfedit', 'O2', 'O3', 0.9825, 0.16332101821899414]
['CO', 304, 'UO', 10, 'fold', 'objcopy', 'O2', 'O1', 0.9818941504178273, 1.1117615699768066]
['UO', 87, 'CO', 373, 'find', 'cksum', 'O0', 'O0', 0.9953317772590864, 0.7071793079376221]
['CO', 355, 'UO', 57, 'chroot', 'size', 'O0', 'O3', 0.9685683530678149, 1.3172481060028076]
['CO', 371, 'BO', 30, 'tsort', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9868521341463414, 3.017643928527832]
['BO', 11, 'CO', 328, 'ssh', 'dirname', 'O1', 'O0', 0.9952571513265155, 1.3919336795806885]
['CO', 57, 'UO', 72, 'od', 'strings', 'O3', 'O0', 0.9919900566220136, 3.0841331481933594]
['UO', 48, 'CO', 386, 'ranlib', 'unexpand', 'O3', 'O0', 0.990606493771697, 1.2442150115966797]
['BO', 63, 'CO', 179, 'cluster', 'mv', 'O0', 'O1', 0.959260656356092, 1.5132319927215576]
['UO', 52, 'CO', 251, 'ld', 'chroot', 'O3', 'O2', 0.9963431786216597, 1.4278721809387207]
['CO', 24, 'UO', 24, 'tee', 'diff', 'O3', 'O2', 0.8906917164816396, 0.23294973373413086]
['CO', 405, 'BO', 71, 'nl', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.982669343759907, 3.4255099296569824]
['CO', 208, 'BO', 44, 'sha384sum', 'cmp', 'O2', 'O2', 0.9115384615384615, 0.06695008277893066]
['CO', 203, 'BO', 37, 'sort', 'gvmap', 'O1', 'O2', 0.942886282508924, 0.8857631683349609]
['UO', 58, 'CO', 156, 'objdump', 'sha256sum', 'O3', 'O1', 0.9949054833087545, 1.7642409801483154]
['CO', 240, 'UO', 71, 'expr', 'c++filt', 'O2', 'O0', 0.9861209460416371, 2.1940758228302]
['CO', 3, 'UO', 69, 'unlink', 'as', 'O3', 'O0', 0.9940209267563528, 2.565472364425659]
['CO', 294, 'BO', 64, 'timeout', 'dot', 'O2', 'O0', 0.9940119760479041, 0.03661394119262695]
['CO', 195, 'BO', 44, 'comm', 'cmp', 'O1', 'O2', 0.9195612431444241, 0.07235026359558105]
['BO', 39, 'CO', 200, 'codeblocks', 'fold', 'O3', 'O1', 0.9988984088127295, 3.7345142364501953]
['UO', 36, 'CO', 402, 'addr2line', 'tr', 'O2', 'O0', 0.9907504729871768, 1.4960906505584717]
['BO', 16, 'UO', 16, 'make', 'size', 'O0', 'O1', 0.9453924914675768, 7.889211416244507]
['CO', 112, 'UO', 78, 'dir', 'elfedit', 'O1', 'O0', 0.9875, 0.28103137016296387]
['CO', 104, 'BO', 20, 'sha384sum', 'sort', 'O1', 'O1', 0.8901515151515151, 0.20412135124206543]
['CO', 6, 'UO', 71, 'mkdir', 'c++filt', 'O3', 'O0', 0.992682240360259, 2.63706111907959]
['BO', 23, 'CO', 246, 'git', 'sha1sum', 'O2', 'O2', 0.9988732882648639, 4.112598419189453]
['UO', 0, 'CO', 280, 'locate', 'head', 'O1', 'O2', 0.9862424763542562, 0.24122977256774902]
['CO', 105, 'UO', 69, 'touch', 'as', 'O1', 'O0', 0.9878776747176049, 4.676579236984253]
['CO', 327, 'UO', 87, 'join', 'find', 'O0', 'O0', 0.973709522282783, 1.1142356395721436]
['CO', 397, 'BO', 32, '[', 'ruby', 'O0', 'O2', 0.9895141558895492, 7.563862085342407]
['CO', 64, 'UO', 44, 'tty', 'nm', 'O3', 'O3', 0.9783596624107336, 0.9223294258117676]
['CO', 327, 'UO', 1, 'join', 'xargs', 'O0', 'O1', 0.9430523917995444, 0.2251753807067871]
['CO', 266, 'UO', 51, 'df', 'objcopy', 'O2', 'O3', 0.9683995922528033, 2.5202572345733643]
['CO', 177, 'UO', 49, 'hostid', 'c++filt', 'O1', 'O3', 0.9789190401435299, 0.854454755783081]
['BO', 41, 'CO', 290, 'libSDL2-2.0.so.0.16.0', 'shuf', 'O2', 'O2', 0.9938225846305906, 2.4227893352508545]
['CO', 354, 'UO', 16, 'sum', 'size', 'O0', 'O1', 0.9675764416170737, 1.3816783428192139]
['UO', 44, 'CO', 403, 'nm', 'comm', 'O3', 'O0', 0.9948805460750854, 1.1296257972717285]
['CO', 241, 'BO', 25, 'chown', 'dot', 'O2', 'O3', 0.9922480620155039, 0.05204296112060547]
['UO', 32, 'BO', 44, 'strings', 'cmp', 'O2', 'O2', 0.9952667814113597, 1.0772647857666016]
['CO', 411, 'BO', 71, 'sort', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9742935635792779, 10.339104175567627]
['UO', 12, 'CO', 357, 'gprof', 'split', 'O1', 'O0', 0.9903435468895079, 2.0987534523010254]
['BO', 46, 'CO', 283, 'ruby', 'mv', 'O3', 'O2', 0.9982004199020229, 18.706249713897705]
['CO', 174, 'UO', 65, 'b2sum', 'sdiff', 'O1', 'O3', 0.9277777777777778, 0.12158393859863281]
['BO', 18, 'CO', 115, 'libvlc.so.12.0.0', 'groups', 'O1', 'O1', 0.9897959183673469, 0.5130295753479004]
['BO', 70, 'CO', 8, 'diff', 'dir', 'O3', 'O3', 0.9450056116722784, 0.6414008140563965]
['CO', 320, 'UO', 28, 'dir', 'readelf', 'O0', 'O2', 0.9567415730337079, 2.2805848121643066]
['CO', 132, 'BO', 27, 'factor', 'perl', 'O1', 'O3', 0.9866386715021951, 4.8337671756744385]
['UO', 70, 'BO', 80, 'ranlib', 'ssh', 'O0', 'O3', 0.9728467153284671, 35.68937587738037]
