['CV', 171, 'UV', 52, 'rmdir', 'strip', 'V3', 'V1', 0.9725540845979981, 1.4186408519744873]
['CV', 111, 'UV', 3, 'factor', 'diff3', 'V3', 'V2', 0.915, 0.1251678466796875]
['CV', 126, 'BV', 77, 'whoami', 'perl', 'V3', 'V2', 0.9896951481322456, 2.5802276134490967]
['CV', 346, 'UV', 54, 'mknod', 'as', 'V1', 'V1', 0.9809601523187814, 0.9714727401733398]
['UV', 3, 'CV', 1, 'diff3', 'stat', 'V2', 'V2', 0.9516908212560387, 0.07727622985839844]
['CV', 69, 'UV', 0, 'csplit', 'locate', 'V2', 'V2', 0.9358752166377816, 0.2663908004760742]
['BV', 45, 'CV', 306, 'svn', 'cp', 'V3', 'V1', 0.9901832460732984, 1.1105997562408447]
['CV', 162, 'UV', 49, 'tr', 'xargs', 'V3', 'V1', 0.9092382495948136, 0.08047676086425781]
['BV', 19, 'CV', 12, 'cp', 'stty', 'V3', 'V2', 0.9787610619469027, 0.2536468505859375]
['CV', 83, 'BV', 69, 'tac', 'gvmap', 'V2', 'V0', 0.9414694894146949, 0.5134153366088867]
['UV', 13, 'BV', 60, 'strings', 'codeblocks', 'V2', 'V1', 0.9820682012794036, 57.633562326431274]
['UV', 20, 'CV', 236, 'size', 'unexpand', 'V2', 'V0', 0.9965442764578833, 0.6310842037200928]
['UV', 2, 'CV', 140, 'find', 'tty', 'V2', 'V3', 0.9890176937156803, 0.2422473430633545]
['UV', 20, 'CV', 252, 'size', 'rm', 'V2', 'V0', 0.9924559932942163, 1.1556391716003418]
['UV', 41, 'CV', 115, 'cmp', 'chown', 'V3', 'V3', 0.9158163265306123, 0.12711286544799805]
['CV', 141, 'UV', 62, 'false', 'ar', 'V3', 'V1', 0.977666999002991, 0.9230246543884277]
['CV', 13, 'UV', 67, 'join', 'cmp', 'V2', 'V0', 0.9080068143100511, 0.07479548454284668]
['UV', 20, 'CV', 81, 'size', 'sleep', 'V2', 'V2', 0.9965833867179159, 0.8092653751373291]
['CV', 307, 'UV', 12, 'cut', 'c++filt', 'V1', 'V2', 0.973449401523395, 0.7937967777252197]
['CV', 22, 'UV', 62, 'kill', 'ar', 'V2', 'V1', 0.9772455089820359, 0.9183883666992188]
['CV', 297, 'BV', 37, 'chroot', 'geany', 'V1', 'V1', 0.994922903347123, 3.9357893466949463]
['UV', 27, 'CV', 296, 'c++filt', 'sum', 'V3', 'V1', 0.9968937208786333, 0.7265400886535645]
['CV', 2, 'BV', 19, 'unlink', 'cp', 'V2', 'V3', 0.888125613346418, 0.13103222846984863]
['CV', 265, 'BV', 34, 'basename', 'svn', 'V1', 'V0', 0.984725050916497, 0.3320350646972656]
['CV', 298, 'BV', 29, 'seq', 'perl', 'V1', 'V3', 0.9923457183862223, 1.7330341339111328]
['UV', 58, 'CV', 153, 'objcopy', 'link', 'V1', 'V3', 0.997074122236671, 1.1461389064788818]
['BV', 15, 'CV', 260, 'libvlccore.so', 'ln', 'V3', 'V0', 0.9993112157042819, 1.687861442565918]
['UV', 33, 'BV', 32, 'ar', 'perl', 'V3', 'V0', 0.966936661797902, 35.425843477249146]
['CV', 61, 'UV', 14, 'ginstall', 'objcopy', 'V2', 'V2', 0.9697511790535046, 3.0492732524871826]
['UV', 67, 'CV', 48, 'cmp', 'df', 'V0', 'V2', 0.8950201884253028, 0.11052823066711426]
['UV', 40, 'BV', 66, 'diff3', 'lua', 'V3', 'V1', 0.9588532883642495, 0.889676570892334]
['BV', 33, 'CV', 206, 'openssl', 'paste', 'V0', 'V0', 0.9994719053654415, 2.0271568298339844]
['BV', 37, 'CV', 189, 'geany', 'uptime', 'V1', 'V0', 0.9994369105156962, 3.4900455474853516]
['CV', 190, 'BV', 2, 'dd', 'cmp', 'V0', 'V1', 0.8700854700854701, 0.07872533798217773]
['CV', 291, 'UV', 26, 'pinky', 'ranlib', 'V1', 'V3', 0.9778824493139463, 0.9849193096160889]
['CV', 335, 'BV', 46, 'pathchk', 'cluster', 'V1', 'V3', 0.9542225730071034, 0.1784980297088623]
['UV', 80, 'CV', 185, 'objcopy', 'printenv', 'V0', 'V0', 0.9986235375086029, 0.5849442481994629]
['CV', 325, 'BV', 1, 'md5sum', 'libSDL2-2.0.so', 'V1', 'V3', 0.9868316494494267, 1.706533670425415]
['CV', 64, 'UV', 45, 'md5sum', 'cmp', 'V2', 'V1', 0.9211045364891519, 0.06250929832458496]
['UV', 86, 'CV', 55, 'size', 'nohup', 'V0', 'V2', 0.9959031657355679, 0.9004201889038086]
['CV', 84, 'UV', 27, 'rmdir', 'c++filt', 'V2', 'V3', 0.9798068481123793, 0.9578282833099365]
['CV', 316, 'UV', 39, 'nohup', 'find', 'V1', 'V3', 0.9744642042863657, 0.3735940456390381]
['CV', 69, 'BV', 32, 'csplit', 'perl', 'V2', 'V0', 0.9696887194845267, 4.60498046875]
['CV', 284, 'BV', 13, 'wc', 'cp', 'V1', 'V2', 0.9156214367160775, 0.12747979164123535]
['BV', 48, 'CV', 116, 'gvmap', 'tail', 'V3', 'V3', 0.9751332149200711, 0.5260105133056641]
['BV', 34, 'UV', 65, 'svn', 'objdump', 'V0', 'V1', 0.9495778045838359, 10.50455904006958]
['CV', 253, 'BV', 24, 'fold', 'git', 'V0', 'V0', 0.9933586910583831, 2.1177053451538086]
['CV', 190, 'BV', 74, 'dd', 'git', 'V0', 'V1', 0.9896960329726945, 4.012851238250732]
['CV', 217, 'BV', 70, 'chmod', 'ssh', 'V0', 'V0', 0.9824945295404814, 2.4778096675872803]
['CV', 114, 'UV', 34, 'expr', 'elfedit', 'V3', 'V3', 0.9682539682539683, 0.11094164848327637]
['CV', 275, 'UV', 50, 'dirname', 'find', 'V1', 'V1', 0.9301143583227446, 0.19354748725891113]
['CV', 327, 'BV', 54, 'link', 'lua', 'V1', 'V3', 0.9739243807040417, 0.3914320468902588]
['CV', 116, 'UV', 79, 'tail', 'strings', 'V3', 'V0', 0.9643082091119043, 1.815209150314331]
['BV', 30, 'CV', 253, 'bash', 'fold', 'V0', 'V0', 0.9986175115207373, 1.1157262325286865]
['BV', 18, 'UV', 77, 'sort', 'ranlib', 'V3', 'V0', 0.9544870618462103, 3.242562770843506]
['UV', 78, 'CV', 32, 'c++filt', 'paste', 'V0', 'V2', 0.9968390155791375, 0.7001166343688965]
['UV', 1, 'CV', 8, 'xargs', 'du', 'V2', 'V2', 0.9128205128205128, 0.262300968170166]
