['CO', 274, 'UO', 23, 'runcon', 'cmp', 'O2', 'O2', 0.8775510204081632, 0.046914100646972656]
['CO', 403, 'BO', 54, 'comm', 'lua', 'O0', 'O3', 0.9625117150890347, 0.7478325366973877]
['BO', 21, 'CO', 18, 'cp', 'uptime', 'O1', 'O3', 0.9590382902938558, 0.22013211250305176]
['CO', 198, 'UO', 76, 'rm', 'addr2line', 'O1', 'O0', 0.9805665799917886, 3.270390748977661]
['CO', 99, 'BO', 46, 'sort', 'ruby', 'O3', 'O3', 0.983976498865002, 22.637206315994263]
['CO', 162, 'BO', 80, 'df', 'ssh', 'O1', 'O3', 0.9738065061258978, 3.2745182514190674]
['CO', 2, 'UO', 17, 'stat', 'objdump', 'O3', 'O1', 0.9737311910226983, 3.221203565597534]
['CO', 40, 'UO', 11, 'sync', 'ld', 'O3', 'O1', 0.984508990318119, 1.5715022087097168]
['CO', 235, 'UO', 18, 'wc', 'diff3', 'O2', 'O1', 0.8857142857142857, 0.1080322265625]
['CO', 102, 'UO', 0, 'mknod', 'locate', 'O3', 'O1', 0.9503424657534246, 0.24408745765686035]
['CO', 128, 'UO', 46, 'tee', 'readelf', 'O1', 'O3', 0.9707560627674751, 0.6046292781829834]
['CO', 292, 'UO', 81, 'vdir', 'diff3', 'O2', 'O0', 0.9501206757843926, 0.31944847106933594]
['BO', 25, 'CO', 112, 'dot', 'dir', 'O3', 'O1', 0.9932203389830508, 0.08937835693359375]
['UO', 28, 'BO', 78, 'readelf', 'ssh', 'O2', 'O0', 0.9754144160923822, 15.118193864822388]
['UO', 60, 'CO', 244, 'xargs', 'pinky', 'O3', 'O2', 0.9727520435967303, 0.15089964866638184]
['CO', 168, 'UO', 63, 'tty', 'cmp', 'O1', 'O3', 0.8925619834710744, 0.06048917770385742]
['CO', 22, 'BO', 52, 'pwd', 'svn', 'O3', 'O3', 0.9905771495877503, 0.716217041015625]
['BO', 30, 'CO', 246, 'libvlccore.so.9.0.0', 'sha1sum', 'O2', 'O2', 0.9990425124473382, 2.1499104499816895]
['CO', 409, 'BO', 27, 'uniq', 'perl', 'O0', 'O3', 0.984680199157411, 4.025848150253296]
['BO', 70, 'UO', 8, 'diff', 'c++filt', 'O3', 'O1', 0.9630519120635507, 3.498093605041504]
['BO', 13, 'CO', 391, 'ruby', 'link', 'O1', 'O0', 0.9993858541744857, 4.862522602081299]
['BO', 80, 'CO', 152, 'ssh', 'ls', 'O3', 'O1', 0.9812525472082597, 4.4016125202178955]
['CO', 231, 'UO', 2, 'pr', 'find', 'O2', 'O1', 0.9528672427336999, 0.7979352474212646]
['CO', 392, 'UO', 56, 'uname', 'elfedit', 'O0', 'O3', 0.9675456389452333, 0.08399200439453125]
['CO', 143, 'BO', 51, 'paste', 'lua', 'O1', 'O1', 0.962874251497006, 0.6840569972991943]
['CO', 17, 'UO', 19, 'stdbuf', 'cmp', 'O3', 'O1', 0.9142367066895369, 0.08110404014587402]
['UO', 68, 'BO', 69, 'readelf', 'cmp', 'O0', 'O3', 0.9953584321815369, 0.9232232570648193]
['UO', 78, 'CO', 374, 'elfedit', 'printf', 'O0', 'O0', 0.9379084967320261, 0.12213516235351562]
['CO', 404, 'UO', 41, 'sha512sum', 'locate', 'O0', 'O2', 0.9536423841059603, 0.33660888671875]
['BO', 68, 'CO', 104, 'git', 'sha384sum', 'O3', 'O1', 0.9987020853162586, 4.776002407073975]
['CO', 406, 'UO', 70, 'rm', 'ranlib', 'O0', 'O0', 0.9816418875242404, 3.9654033184051514]
['CO', 241, 'UO', 85, 'chown', 'locate', 'O2', 'O0', 0.9694189602446484, 0.5599386692047119]
['UO', 44, 'CO', 126, 'nm', 'pwd', 'O3', 'O1', 0.993106419646704, 1.017399549484253]
['BO', 59, 'CO', 376, 'libgeany.so.0.0.0', 'tty', 'O3', 'O0', 0.999261120141865, 5.776992082595825]
['BO', 65, 'CO', 232, 'gvmap', 'tee', 'O0', 'O2', 0.9856923863055698, 0.40746259689331055]
['UO', 85, 'BO', 2, 'locate', 'perl', 'O0', 'O1', 0.9708505547095932, 13.376152753829956]
['BO', 69, 'CO', 331, 'cmp', 'dd', 'O3', 'O0', 0.8935912938331319, 0.1565699577331543]
['CO', 295, 'BO', 59, 'id', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9946107563397438, 8.282617330551147]
['BO', 53, 'UO', 18, 'bash', 'diff3', 'O0', 'O1', 0.9954692556634305, 3.9808528423309326]
['CO', 368, 'BO', 10, 'cut', 'openssl', 'O0', 'O3', 0.9903232900813723, 3.8638877868652344]
['BO', 1, 'CO', 138, 'ssh', 'tail', 'O2', 'O1', 0.9914089347079038, 2.504645824432373]
['BO', 18, 'CO', 105, 'libvlc.so.12.0.0', 'touch', 'O1', 'O1', 0.9887902849135918, 0.8354325294494629]
['BO', 13, 'CO', 199, 'ruby', 'sha224sum', 'O1', 'O1', 0.9979561248126447, 5.983157157897949]
['CO', 245, 'BO', 58, 'truncate', 'svn', 'O2', 'O1', 0.9773869346733668, 0.5571353435516357]
['UO', 64, 'CO', 389, 'diff', 'env', 'O3', 'O0', 0.9799833194328608, 0.228104829788208]
['CO', 75, 'UO', 46, 'mv', 'readelf', 'O3', 'O3', 0.9680820746651467, 1.911618947982788]
['BO', 61, 'CO', 246, 'git', 'sha1sum', 'O1', 'O2', 0.9988732882648639, 3.992795705795288]
['BO', 15, 'CO', 348, 'diff', 'pinky', 'O0', 'O0', 0.9823917828319882, 0.30030393600463867]
['CO', 37, 'BO', 34, 'truncate', 'cp', 'O3', 'O2', 0.888454011741683, 0.17830419540405273]
['CO', 226, 'UO', 34, 'uptime', 'ld', 'O2', 'O2', 0.9819845179451091, 1.8633320331573486]
['BO', 65, 'CO', 208, 'gvmap', 'sha384sum', 'O0', 'O2', 0.984779299847793, 0.4264106750488281]
['CO', 317, 'UO', 6, 'basename', 'as', 'O0', 'O1', 0.9782157676348547, 1.5725889205932617]
['UO', 2, 'CO', 236, 'find', 'factor', 'O1', 'O2', 0.985663082437276, 0.6565816402435303]
['UO', 47, 'CO', 353, 'as', 'echo', 'O3', 'O0', 0.9945504087193461, 1.2907650470733643]
['CO', 179, 'BO', 0, 'mv', 'codeblocks', 'O1', 'O1', 0.9877278684618134, 13.676265716552734]
['UO', 54, 'CO', 184, 'addr2line', 'uname', 'O3', 'O1', 0.994693787309308, 0.8294544219970703]
['CO', 59, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O3', 'O1', 0.992634496374198, 7.961742639541626]
['BO', 48, 'CO', 244, 'libvlccore.so.9.0.0', 'pinky', 'O0', 'O2', 0.9989949027209419, 3.5255942344665527]
['CO', 13, 'BO', 32, 'printenv', 'ruby', 'O3', 'O2', 0.9916510611735331, 4.228144645690918]
['CO', 84, 'UO', 45, 'vdir', 'strip', 'O3', 'O3', 0.9671761866452132, 3.8614675998687744]
['BO', 46, 'CO', 20, 'ruby', 'mkfifo', 'O3', 'O3', 0.9994544648641277, 5.0290656089782715]
['CO', 211, 'UO', 4, 'unlink', 'strip', 'O2', 'O1', 0.9842436974789917, 0.9209029674530029]
['CO', 32, 'BO', 6, 'expr', 'codeblocks', 'O3', 'O0', 0.9950768108674841, 9.559259414672852]
['BO', 68, 'CO', 133, 'git', 'nproc', 'O3', 'O1', 0.9990465045724439, 4.087110280990601]
['CO', 12, 'BO', 34, 'ptx', 'cp', 'O3', 'O2', 0.8917609046849757, 0.29991722106933594]
['CO', 73, 'BO', 62, 'hostid', 'bash', 'O3', 'O1', 0.9880320432390696, 2.166727066040039]
['BO', 33, 'CO', 44, 'sort', 'seq', 'O2', 'O3', 0.9578139980824545, 0.1880326271057129]
['CO', 314, 'UO', 63, 'stat', 'cmp', 'O0', 'O3', 0.9571106094808126, 0.15967321395874023]
['UO', 40, 'CO', 256, 'objdump', 'ls', 'O2', 'O2', 0.9926330496634066, 4.489096641540527]
