['BO', 28, 'CO', 3, 'ruby', 'unlink', 'O0', 'O3', 0.9994570197169715, 4.714639186859131]
['BO', 24, 'CO', 98, 'cluster', 'sleep', 'O3', 'O3', 0.9819819819819819, 0.25195765495300293]
['UO', 73, 'CO', 218, 'objcopy', 'users', 'O0', 'O2', 0.9976147883124628, 1.542475700378418]
['BO', 77, 'CO', 105, 'libSDL2-2.0.so.0.16.0', 'touch', 'O3', 'O1', 0.992198818678257, 3.1142659187316895]
['BO', 68, 'CO', 132, 'git', 'factor', 'O3', 'O1', 0.99845087998623, 7.435284852981567]
['CO', 144, 'BO', 40, 'sync', 'lua', 'O1', 'O0', 0.9812853976852992, 0.8887269496917725]
['BO', 38, 'CO', 63, 'acyclic', 'logname', 'O2', 'O3', 0.9804560260586319, 0.03845930099487305]
['CO', 83, 'BO', 76, 'csplit', 'openssl', 'O3', 'O2', 0.9899891186071818, 4.9886438846588135]
['BO', 46, 'CO', 366, 'ruby', 'true', 'O3', 'O0', 0.9993855397009627, 4.723431587219238]
['BO', 34, 'CO', 337, 'cp', 'chgrp', 'O2', 'O0', 0.9586206896551724, 0.36950135231018066]
['CO', 19, 'UO', 24, 'dd', 'diff', 'O3', 'O2', 0.9055673009161381, 0.37328648567199707]
['CO', 312, 'BO', 36, 'sha384sum', 'cluster', 'O0', 'O2', 0.9577762139338494, 0.374896764755249]
['BO', 53, 'CO', 274, 'bash', 'runcon', 'O0', 'O2', 0.998019801980198, 1.6858103275299072]
['UO', 44, 'CO', 199, 'nm', 'sha224sum', 'O3', 'O1', 0.991852487135506, 1.0759165287017822]
['CO', 312, 'BO', 39, 'sha384sum', 'codeblocks', 'O0', 'O3', 0.9914831488015574, 6.483680248260498]
['CO', 222, 'BO', 42, 'stty', 'cmp', 'O2', 'O1', 0.9233449477351916, 0.07941055297851562]
['CO', 63, 'BO', 67, 'logname', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.9842539057694674, 1.9238369464874268]
['BO', 79, 'UO', 17, 'bash', 'objdump', 'O3', 'O1', 0.9813094327248879, 60.45490837097168]
['CO', 25, 'BO', 52, 'chgrp', 'svn', 'O3', 'O3', 0.9912917271407837, 1.4573352336883545]
['CO', 19, 'BO', 77, 'dd', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.9747252747252747, 4.300119400024414]
['BO', 81, 'CO', 10, 'sort', 'users', 'O3', 'O3', 0.9893617021276596, 0.1814866065979004]
['BO', 17, 'CO', 277, 'codeblocks', 'who', 'O2', 'O2', 0.9985112586067861, 4.006947994232178]
['BO', 55, 'UO', 72, 'make', 'strings', 'O1', 'O0', 0.9690153775533624, 10.347521305084229]
['UO', 87, 'CO', 150, 'find', 'whoami', 'O0', 'O1', 0.9885018599932364, 0.5925755500793457]
['CO', 359, 'BO', 55, 'numfmt', 'make', 'O0', 'O1', 0.9547588561673068, 0.7489385604858398]
['CO', 204, 'UO', 33, 'tac', 'objcopy', 'O1', 'O2', 0.9756312908352464, 1.418243646621704]
['UO', 15, 'CO', 153, 'elfedit', 'nice', 'O1', 'O1', 0.9437751004016064, 0.08010435104370117]
['BO', 51, 'UO', 69, 'lua', 'as', 'O1', 'O0', 0.983211840070687, 25.71909737586975]
['CO', 317, 'BO', 79, 'basename', 'bash', 'O0', 'O3', 0.9855214943247833, 2.207456350326538]
['BO', 80, 'CO', 113, 'ssh', 'du', 'O3', 'O1', 0.98760671991187, 3.9383084774017334]
['BO', 55, 'CO', 383, 'make', 'readlink', 'O1', 'O0', 0.9767545820295038, 0.6137042045593262]
['UO', 15, 'CO', 68, 'elfedit', 'yes', 'O1', 'O3', 0.9805825242718447, 0.08318948745727539]
['CO', 168, 'BO', 28, 'tty', 'ruby', 'O1', 'O0', 0.9936809920163071, 4.708245277404785]
['CO', 157, 'UO', 5, 'chmod', 'readelf', 'O1', 'O1', 0.948252688172043, 0.8858039379119873]
['BO', 53, 'CO', 34, 'bash', 'tail', 'O0', 'O3', 0.9963052208835341, 4.5754334926605225]
['UO', 40, 'CO', 387, 'objdump', 'mv', 'O2', 'O0', 0.9873583780560524, 7.402801752090454]
['UO', 75, 'BO', 73, 'gprof', 'cluster', 'O0', 'O1', 0.9843768777791131, 6.444138050079346]
['CO', 40, 'UO', 59, 'sync', 'locate', 'O3', 'O3', 0.9644859813084112, 0.20576167106628418]
['CO', 353, 'UO', 37, 'echo', 'ar', 'O0', 'O2', 0.973404255319149, 1.0428597927093506]
['CO', 315, 'UO', 49, 'unlink', 'c++filt', 'O0', 'O3', 0.978125, 0.9624967575073242]
['CO', 280, 'BO', 55, 'head', 'make', 'O2', 'O1', 0.9511970534069981, 0.4386711120605469]
