['CO', 40, 'UO', 36, 'sync', 'addr2line', 'O3', 'O2', 0.9762264966500973, 1.0748226642608643]
['UO', 32, 'CO', 128, 'strings', 'tee', 'O2', 'O1', 0.9948018193632229, 1.415731430053711]
['BO', 11, 'UO', 25, 'ssh', 'sdiff', 'O1', 'O2', 0.9944935516591799, 2.2611746788024902]
['CO', 318, 'UO', 14, 'mkdir', 'ar', 'O0', 'O1', 0.9544962080173348, 3.7164745330810547]
['CO', 277, 'BO', 69, 'who', 'cmp', 'O2', 'O3', 0.9274047186932849, 0.07154083251953125]
['BO', 66, 'CO', 11, 'svn', 'groups', 'O2', 'O3', 0.9935143899473045, 0.6053566932678223]
['UO', 63, 'BO', 24, 'cmp', 'cluster', 'O3', 'O3', 0.9507959479015919, 0.3093299865722656]
['CO', 18, 'UO', 51, 'uptime', 'objcopy', 'O3', 'O3', 0.9746612704557452, 1.556678056716919]
['CO', 203, 'BO', 4, 'sort', 'libgeany.so.0.0.0', 'O1', 'O2', 0.9866330016337442, 22.84157967567444]
['BO', 12, 'CO', 236, 'libgeany.so.0.0.0', 'factor', 'O0', 'O2', 0.9987466859484213, 7.5003156661987305]
['CO', 264, 'BO', 76, 'cut', 'openssl', 'O2', 'O2', 0.9911278695796828, 3.1738500595092773]
['CO', 78, 'BO', 75, 'chcon', 'gvmap', 'O3', 'O1', 0.9536817102137767, 0.5106265544891357]
['CO', 112, 'BO', 4, 'dir', 'libgeany.so.0.0.0', 'O1', 'O2', 0.9855309045039697, 22.390288829803467]
['CO', 119, 'UO', 54, 'join', 'addr2line', 'O1', 'O3', 0.9711331322705731, 1.2928647994995117]
['UO', 42, 'BO', 17, 'xargs', 'codeblocks', 'O2', 'O2', 0.984945841747751, 7.722646951675415]
['UO', 64, 'CO', 363, 'diff', 'realpath', 'O3', 'O0', 0.9716981132075472, 0.30287790298461914]
['CO', 335, 'BO', 17, 'pr', 'codeblocks', 'O0', 'O2', 0.9857020652572406, 9.281288862228394]
['UO', 9, 'CO', 307, 'strings', 'sort', 'O1', 'O2', 0.9829545454545454, 2.9869022369384766]
['BO', 37, 'CO', 313, 'gvmap', 'touch', 'O2', 'O0', 0.9562841530054644, 0.5648114681243896]
['CO', 312, 'BO', 76, 'sha384sum', 'openssl', 'O0', 'O2', 0.9921026653504442, 4.6076812744140625]
['CO', 273, 'BO', 71, 'false', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.9922697015245866, 1.867910623550415]
['BO', 44, 'CO', 395, 'cmp', 'csplit', 'O2', 'O0', 0.9019867549668874, 0.13344407081604004]
['BO', 3, 'CO', 278, 'openssl', 'b2sum', 'O1', 'O2', 0.9955678670360111, 2.8558971881866455]
['CO', 106, 'BO', 83, 'stat', 'lua', 'O1', 'O2', 0.9470468431771895, 1.248647689819336]
['CO', 151, 'BO', 37, 'numfmt', 'gvmap', 'O1', 'O2', 0.9529885829415715, 0.3817720413208008]
['BO', 6, 'CO', 357, 'codeblocks', 'split', 'O0', 'O0', 0.9996373691129142, 9.625113487243652]
['BO', 12, 'CO', 341, 'libgeany.so.0.0.0', 'nproc', 'O0', 'O0', 0.9996122528111672, 5.6451170444488525]
['CO', 185, 'UO', 22, 'cat', 'diff3', 'O1', 'O2', 0.8490566037735849, 0.08198237419128418]
['CO', 94, 'BO', 77, 'rm', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.9755371900826446, 4.25721001625061]
['CO', 281, 'BO', 79, 'hostid', 'bash', 'O2', 'O3', 0.9899280575539569, 1.5193710327148438]
['UO', 28, 'CO', 195, 'readelf', 'comm', 'O2', 'O1', 0.9817318231640483, 0.568382978439331]
['UO', 41, 'CO', 263, 'locate', 'cp', 'O2', 'O2', 0.9659987856709168, 0.6577425003051758]
['UO', 46, 'CO', 221, 'readelf', 'printenv', 'O3', 'O2', 0.9948263118994827, 0.447796106338501]
['BO', 37, 'CO', 383, 'gvmap', 'readlink', 'O2', 'O0', 0.9692307692307692, 0.5421133041381836]
['CO', 36, 'BO', 41, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9786415000620886, 3.101991891860962]
['BO', 21, 'CO', 207, 'cp', 'ln', 'O1', 'O1', 0.9192688499619193, 0.3513295650482178]
['CO', 273, 'BO', 56, 'false', 'libvlc.so.12.0.0', 'O2', 'O3', 0.9897540983606558, 0.3895597457885742]
['CO', 372, 'UO', 56, 'base64', 'elfedit', 'O0', 'O3', 0.9720767888307156, 0.10778975486755371]
['CO', 386, 'UO', 15, 'unexpand', 'elfedit', 'O0', 'O1', 0.9547038327526133, 0.1105031967163086]
['UO', 13, 'CO', 375, 'addr2line', 'logname', 'O1', 'O0', 0.9920385501780851, 0.9530041217803955]
