['CV', 50, 'UV', 38, 'cksum', 'xargs', 'V2', 'V3', 0.9734513274336283, 0.10966157913208008]
['BV', 73, 'CV', 73, 'geany', 'shred', 'V0', 'V2', 0.9985055508112725, 5.771054029464722]
['CV', 254, 'UV', 65, 'uniq', 'objdump', 'V0', 'V1', 0.9820089955022488, 1.2118258476257324]
['UV', 73, 'BV', 12, 'nm', 'sort', 'V0', 'V2', 0.9904401513642701, 2.1902670860290527]
['CV', 237, 'UV', 27, 'mv', 'c++filt', 'V0', 'V3', 0.9648542485011371, 2.0493438243865967]
['BV', 18, 'CV', 307, 'sort', 'cut', 'V3', 'V1', 0.9734345351043643, 0.13579010963439941]
['CV', 186, 'BV', 63, 'stty', 'ruby', 'V0', 'V0', 0.9940193013456572, 4.090151071548462]
['UV', 85, 'CV', 0, 'elfedit', 'touch', 'V0', 'V2', 0.9737335834896811, 0.08923649787902832]
['CV', 338, 'UV', 78, 'nl', 'c++filt', 'V1', 'V0', 0.9640591966173362, 1.6799094676971436]
['UV', 73, 'CV', 23, 'nm', 'wc', 'V0', 'V2', 0.9956840742339231, 0.9420185089111328]
['CV', 257, 'BV', 8, 'tac', 'cluster', 'V0', 'V2', 0.9605181986428131, 0.4872875213623047]
['CV', 185, 'BV', 57, 'printenv', 'svn', 'V0', 'V2', 0.9894077997111218, 0.3209993839263916]
['BV', 0, 'UV', 53, 'bash', 'readelf', 'V2', 'V1', 0.9944547134935305, 8.086874723434448]
['BV', 76, 'CV', 235, 'diff', 'ginstall', 'V2', 'V0', 0.9594496741491673, 0.35393619537353516]
['CV', 19, 'BV', 75, 'pr', 'cmp', 'V2', 'V2', 0.9396825396825397, 0.08597874641418457]
['CV', 194, 'BV', 1, 'tee', 'libSDL2-2.0.so', 'V0', 'V3', 0.9865710709001935, 1.4675617218017578]
['BV', 31, 'CV', 12, 'codeblocks', 'stty', 'V0', 'V2', 0.9990823282642894, 3.832080364227295]
['CV', 100, 'BV', 28, 'join', 'openssl', 'V3', 'V1', 0.9871731623088308, 5.760041236877441]
['BV', 32, 'CV', 339, 'perl', 'rm', 'V0', 'V1', 0.9977547010945832, 2.409071922302246]
['UV', 13, 'BV', 39, 'strings', 'svn', 'V2', 'V1', 0.989371678649578, 6.754721164703369]
['CV', 17, 'UV', 80, 'mkfifo', 'objcopy', 'V2', 'V0', 0.9846938775510204, 0.9703464508056641]
['UV', 53, 'CV', 259, 'readelf', 'mknod', 'V1', 'V0', 0.9930458970792768, 0.18601584434509277]
['CV', 303, 'BV', 20, 'dircolors', 'sort', 'V1', 'V1', 0.893030794165316, 0.07735013961791992]
['CV', 19, 'BV', 35, 'pr', 'libvlccore.so', 'V2', 'V2', 0.9881845035219269, 3.0027434825897217]
['CV', 186, 'BV', 21, 'stty', 'cp', 'V0', 'V1', 0.8856259659969088, 0.08726334571838379]
['CV', 101, 'UV', 11, 'dirname', 'ranlib', 'V3', 'V2', 0.9770669885334943, 0.9523410797119141]
['UV', 8, 'CV', 158, 'strip', '[', 'V2', 'V3', 0.9944894093335629, 1.3894777297973633]
['BV', 29, 'CV', 271, 'perl', 'ptx', 'V3', 'V1', 0.99721383793824, 4.597200632095337]
['CV', 210, 'BV', 29, 'chroot', 'perl', 'V0', 'V3', 0.9920121415448518, 1.4229364395141602]
['BV', 57, 'CV', 12, 'svn', 'stty', 'V2', 'V2', 0.9919928825622776, 0.5870664119720459]
['UV', 14, 'BV', 25, 'objcopy', 'git', 'V2', 'V3', 0.9672746161837701, 124.73898077011108]
