['CO', 319, 'UO', 39, 'fmt', 'size', 'O0', 'O2', 0.9641943734015346, 1.2545969486236572]
['CO', 208, 'BO', 31, 'sha384sum', 'bash', 'O2', 'O2', 0.985288570350811, 2.182798147201538]
['UO', 12, 'CO', 349, 'gprof', 'truncate', 'O1', 'O0', 0.9922720247295209, 1.204521656036377]
['UO', 84, 'CO', 354, 'sdiff', 'sum', 'O0', 'O0', 0.9397116644823067, 0.1346278190612793]
['UO', 16, 'CO', 216, 'size', 'dir', 'O1', 'O2', 0.9853603603603603, 3.4024972915649414]
['BO', 13, 'CO', 148, 'ruby', 'seq', 'O1', 'O1', 0.9985695797289013, 6.010619640350342]
['UO', 42, 'CO', 303, 'xargs', 'sha224sum', 'O2', 'O2', 0.9805555555555555, 0.13744711875915527]
['BO', 43, 'CO', 299, 'diff', 'comm', 'O1', 'O2', 0.973404255319149, 0.18522357940673828]
['BO', 26, 'CO', 91, 'gvmap', 'comm', 'O3', 'O3', 0.9810682893847193, 0.32340574264526367]
['CO', 396, 'BO', 6, 'vdir', 'codeblocks', 'O0', 'O0', 0.9847409040793825, 32.46439981460571]
['UO', 28, 'BO', 70, 'readelf', 'diff', 'O2', 'O3', 0.9823425544437905, 1.7326388359069824]
['UO', 22, 'CO', 344, 'diff3', 'expr', 'O2', 'O0', 0.9327956989247312, 0.13810992240905762]
['CO', 161, 'BO', 12, 'od', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9942224362060664, 10.136287212371826]
['UO', 27, 'CO', 53, 'strip', 'chmod', 'O2', 'O3', 0.9934931506849315, 1.7989904880523682]
['CO', 188, 'BO', 65, 'vdir', 'gvmap', 'O1', 'O0', 0.9537073362102786, 1.2673332691192627]
['CO', 224, 'BO', 54, 'dirname', 'lua', 'O2', 'O3', 0.9804941482444733, 0.49895358085632324]
['UO', 62, 'CO', 232, 'diff3', 'tee', 'O3', 'O2', 0.943127962085308, 0.08654904365539551]
['CO', 236, 'BO', 44, 'factor', 'cmp', 'O2', 'O2', 0.9505409582689336, 0.09158968925476074]
['CO', 177, 'UO', 2, 'hostid', 'find', 'O1', 'O1', 0.9582267689684569, 0.45290470123291016]
['UO', 20, 'CO', 9, 'diff', 'du', 'O1', 'O3', 0.9527272727272728, 0.5492901802062988]
['CO', 369, 'BO', 36, 'od', 'cluster', 'O0', 'O2', 0.9658119658119658, 0.4756612777709961]
['BO', 12, 'CO', 289, 'libgeany.so.0.0.0', 'cat', 'O0', 'O2', 0.9992223572296476, 4.8765175342559814]
['CO', 310, 'BO', 53, 'mknod', 'bash', 'O2', 'O0', 0.9899629781982723, 2.993090867996216]
['CO', 256, 'UO', 80, 'ls', 'objdump', 'O2', 'O0', 0.9804200783196867, 8.691065549850464]
['UO', 50, 'CO', 192, 'strings', 'shred', 'O3', 'O1', 0.9893617021276596, 1.8111584186553955]
['UO', 76, 'CO', 89, 'addr2line', 'pathchk', 'O0', 'O3', 0.998019521855991, 1.5664746761322021]
['BO', 33, 'CO', 141, 'sort', 'truncate', 'O2', 'O1', 0.9545923632610939, 0.1606583595275879]
['CO', 188, 'UO', 69, 'vdir', 'as', 'O1', 'O0', 0.9844068397271197, 8.487199306488037]
['CO', 2, 'UO', 29, 'stat', 'as', 'O3', 'O2', 0.9733022291342665, 3.1766884326934814]
['UO', 41, 'CO', 306, 'locate', 'sleep', 'O2', 'O2', 0.9829383886255925, 0.17208433151245117]
['CO', 226, 'UO', 72, 'uptime', 'strings', 'O2', 'O0', 0.9900948068487335, 1.975426197052002]
['CO', 396, 'UO', 82, 'vdir', 'cmp', 'O0', 'O0', 0.9789029535864979, 0.3168928623199463]
['UO', 84, 'CO', 31, 'sdiff', 'date', 'O0', 'O3', 0.9275521405049396, 0.18555140495300293]
['BO', 21, 'CO', 295, 'cp', 'id', 'O1', 'O2', 0.9653179190751445, 0.17313814163208008]
['UO', 25, 'CO', 409, 'sdiff', 'uniq', 'O2', 'O0', 0.9270687237026648, 0.13035225868225098]
['CO', 151, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9951695488358613, 9.675978183746338]
['CO', 289, 'UO', 29, 'cat', 'as', 'O2', 'O2', 0.9837991089509923, 1.342850923538208]
['CO', 403, 'UO', 85, 'comm', 'locate', 'O0', 'O0', 0.9581081081081081, 0.4006803035736084]
['BO', 45, 'CO', 350, 'diff', 'sha1sum', 'O2', 'O0', 0.9766277128547579, 0.2603635787963867]
['CO', 189, 'UO', 17, '[', 'objdump', 'O1', 'O1', 0.9788207608837757, 2.196183204650879]
['CO', 334, 'BO', 6, 'pwd', 'codeblocks', 'O0', 'O0', 0.9962502286445949, 9.1017427444458]
['UO', 27, 'CO', 9, 'strip', 'du', 'O2', 'O3', 0.9915337023770758, 3.0631566047668457]
['BO', 43, 'CO', 157, 'diff', 'chmod', 'O1', 'O1', 0.9711902956785443, 0.32770228385925293]
['UO', 21, 'CO', 134, 'sdiff', 'expand', 'O1', 'O1', 0.9367088607594937, 0.09480428695678711]
['UO', 76, 'CO', 353, 'addr2line', 'echo', 'O0', 'O0', 0.9982896237172177, 1.3277878761291504]
['BO', 73, 'CO', 379, 'cluster', 'nohup', 'O1', 'O0', 0.9694767441860466, 0.3120756149291992]
['UO', 84, 'CO', 365, 'sdiff', 'chmod', 'O0', 'O0', 0.9476439790575917, 0.22203969955444336]
