['CO', 340, 'BO', 59, 'factor', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9899248010513251, 17.54720950126648]
['UO', 29, 'CO', 260, 'as', 'sha256sum', 'O2', 'O2', 0.996510067114094, 1.4841978549957275]
['UO', 68, 'CO', 288, 'readelf', 'uname', 'O0', 'O2', 0.9946808510638298, 0.5817165374755859]
['CO', 44, 'BO', 58, 'seq', 'svn', 'O3', 'O1', 0.9791583166332666, 0.7078936100006104]
['UO', 41, 'CO', 126, 'locate', 'pwd', 'O2', 'O1', 0.9767857142857143, 0.23380732536315918]
['BO', 44, 'CO', 110, 'cmp', 'mkdir', 'O2', 'O1', 0.8964941569282137, 0.08914899826049805]
['BO', 45, 'CO', 102, 'diff', 'mknod', 'O2', 'O3', 0.9877408056042032, 0.19788050651550293]
['CO', 33, 'BO', 20, 'chown', 'sort', 'O3', 'O1', 0.8805275407292474, 0.32396912574768066]
['CO', 201, 'UO', 3, 'uniq', 'nm', 'O1', 'O1', 0.9676113360323887, 1.3210854530334473]
['UO', 70, 'CO', 267, 'ranlib', 'tsort', 'O0', 'O2', 0.9970145202876917, 1.4756760597229004]
['UO', 83, 'CO', 315, 'diff', 'unlink', 'O0', 'O0', 0.9858156028368794, 0.2026364803314209]
['CO', 94, 'BO', 81, 'rm', 'sort', 'O3', 'O3', 0.911849710982659, 0.352780818939209]
['CO', 38, 'UO', 1, 'sha1sum', 'xargs', 'O3', 'O1', 0.9677018633540373, 0.16167831420898438]
['UO', 3, 'CO', 125, 'nm', 'mktemp', 'O1', 'O1', 0.9874417662548106, 1.318122386932373]
['BO', 33, 'CO', 166, 'sort', 'printf', 'O2', 'O1', 0.9416909620991254, 0.1880021095275879]
['CO', 150, 'BO', 50, 'whoami', 'perl', 'O1', 'O2', 0.9909886032335012, 2.2591285705566406]
['CO', 337, 'BO', 45, 'chgrp', 'diff', 'O0', 'O2', 0.8980169971671388, 0.40610289573669434]
['UO', 48, 'CO', 246, 'ranlib', 'sha1sum', 'O3', 'O2', 0.9946258784621744, 0.9480764865875244]
['CO', 21, 'UO', 45, 'mktemp', 'strip', 'O3', 'O3', 0.9792618629173989, 1.5982434749603271]
['UO', 3, 'CO', 315, 'nm', 'unlink', 'O1', 'O0', 0.9905232797692625, 0.9678778648376465]
['UO', 52, 'CO', 9, 'ld', 'du', 'O3', 'O3', 0.9915966386554622, 3.7740590572357178]
['UO', 61, 'CO', 365, 'find', 'chmod', 'O3', 'O0', 0.9762564305500594, 0.9218132495880127]
['CO', 251, 'UO', 48, 'chroot', 'ranlib', 'O2', 'O3', 0.9789820729445704, 1.107389211654663]
